"","LH193","LH194","LH195","LH196","LH197","LH198","LH199","LH200","LH201","LH202","LH203","LH204","LH205","LH206","LH207","LH208","LH209","LH210","LH211","LH212"
"A1bg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1cf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2m",3,1,3,3,3,3,4,7,0,9,0,4,0,1,5,5,3,6,6,0
"A2ml1",2,0,1,0,3,0,1,2,0,4,0,2,6,6,2,3,2,2,6,0
"A3galt2",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"A4galt",6,8,16,46,13,15,6,7,16,25,12,21,25,18,16,13,0,8,15,13
"A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6",561,540,706,680,568,618,504,593,585,850,563,627,719,602,556,669,729,720,608,586
"ATP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaas",5,20,15,20,22,17,8,12,20,32,29,9,28,13,10,15,18,15,14,7
"Aacs",23,40,41,65,101,83,91,60,113,76,99,90,136,68,70,65,63,92,132,81
"Aadac",0,0,3,0,0,0,0,2,0,0,2,0,3,3,1,3,0,1,0,0
"Aadat",3,6,1,8,4,2,3,3,4,6,3,0,2,2,0,3,3,5,5,7
"Aagab",3,41,30,39,27,20,33,19,28,45,25,47,41,44,32,27,21,55,23,28
"Aak1",35,68,73,111,164,122,150,59,149,168,179,160,144,92,112,126,57,187,155,88
"Aamdc",30,46,47,61,64,39,55,51,64,45,65,54,58,64,33,38,41,88,47,52
"Aanat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aar2",12,37,22,68,78,30,50,30,61,57,71,57,61,39,30,52,35,40,59,51
"Aard",12,26,33,41,53,29,41,23,32,29,57,42,62,36,44,40,27,44,31,33
"Aars1",50,128,151,193,174,165,203,129,239,220,192,189,255,203,170,163,119,198,223,150
"Aars2",0,4,13,9,14,9,12,7,14,11,11,9,16,10,2,13,9,16,9,6
"Aasdh",0,10,6,12,15,6,18,11,14,18,10,18,10,6,16,15,11,12,20,12
"Aasdhppt",35,77,66,71,111,59,73,61,102,94,89,100,102,60,64,78,64,98,66,59
"Aass",0,2,5,6,5,2,5,7,9,6,3,17,3,3,5,6,3,5,5,3
"Aatf",14,23,32,26,35,19,35,28,43,47,59,39,46,28,39,28,15,42,30,21
"Aatk",41,136,148,134,227,217,258,175,260,276,274,245,249,205,229,225,116,293,270,186
"Abat",123,361,426,363,666,459,509,406,650,627,634,555,667,512,428,531,307,609,579,350
"Abca1",10,9,20,26,43,24,35,15,34,34,35,26,16,16,14,14,9,39,39,30
"Abca12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abca13",0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0
"Abca2",22,90,108,118,127,122,137,83,190,183,171,157,177,84,112,135,75,202,201,132
"Abca4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abca5",6,15,33,21,42,17,16,10,27,9,26,16,26,14,3,5,17,15,22,6
"Abca7",6,11,10,20,20,31,32,12,25,34,30,21,35,25,19,8,12,36,27,14
"Abca9",0,9,6,5,28,9,19,4,23,21,7,22,9,4,14,13,19,16,10,2
"Abcb1",13,16,49,16,65,33,27,31,52,31,57,41,31,28,23,41,8,45,36,38
"Abcb10",18,55,38,46,77,53,61,30,56,66,54,62,69,51,47,33,36,65,42,30
"Abcb11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abcb5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abcb6",6,42,39,59,75,69,85,41,71,87,81,84,92,70,67,50,48,82,83,60
"Abcb7",11,42,28,47,59,34,62,25,47,47,69,67,53,45,44,43,16,47,47,52
"Abcb8",2,22,20,22,30,33,19,22,20,40,33,19,42,22,15,15,15,33,32,23
"Abcb9",12,29,16,29,39,31,35,31,36,25,35,24,47,24,30,19,25,17,41,35
"Abcc1",2,7,4,7,12,4,10,2,6,17,9,3,9,2,4,8,0,13,10,6
"Abcc10",0,0,1,2,2,10,0,1,4,5,3,4,5,5,0,0,0,3,0,2
"Abcc12",0,3,3,0,12,2,2,0,1,0,0,2,3,4,2,3,0,0,0,0
"Abcc2",1,6,5,1,11,5,5,4,8,9,5,5,7,1,10,8,1,5,1,2
"Abcc3",0,0,0,0,0,0,1,0,2,1,9,1,2,0,1,0,0,2,0,0
"Abcc4",12,18,16,9,37,11,17,24,20,22,21,33,33,15,17,19,9,19,22,18
"Abcc5",13,41,62,53,80,54,90,64,89,76,123,62,99,67,89,68,29,96,75,68
