"","LH193","LH194","LH195","LH196","LH197","LH198","LH199","LH200","LH201","LH202","LH203","LH204","LH205","LH206","LH207","LH208","LH209","LH210","LH211","LH212"
"ENSMAUG00000000001",2,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0
"ENSMAUG00000000002",13341,22412,26941,20760,27317,19243,17867,20031,24541,28157,21918,22207,23551,21317,17834,21847,17899,21319,20176,13969
"ENSMAUG00000000003",0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"ENSMAUG00000000004",19892,27675,34865,34805,36133,26267,28849,32792,37851,40014,31386,34075,36182,32218,28858,33448,35103,34658,33789,23866
"ENSMAUG00000000005",0,1,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1
"ENSMAUG00000000006",225,317,428,490,483,397,409,447,516,511,463,533,509,492,393,510,486,484,465,320
"ENSMAUG00000000007",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMAUG00000000008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000009",1,2,1,0,2,0,1,4,1,8,0,3,1,2,1,4,1,1,2,0
"ENSMAUG00000000010",11,1,1,2,2,3,2,3,1,2,5,4,18,46,15,4,6,1,2,2
"ENSMAUG00000000011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000012",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000014",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000016",522,822,905,1145,995,769,879,889,1052,963,897,911,1078,990,798,944,953,1066,1033,741
"ENSMAUG00000000017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMAUG00000000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMAUG00000000028",10,1,2,3,4,3,1,2,2,3,5,2,12,24,12,5,11,1,3,1
