"","subject","ROI","group","mother","litter.size","litter.males","litter.females","LSR","zLSR","wt.day.1","wt.day.15","wt.rate.g","wt.rate.pct","food.total","food.eff","IWAT","EWAT","RWAT","MWAT","total.fat","pct_bw_as_fat","g.hoarded"
"LH193","KM193","LH","Control","KM169",11,5,6,0.833333333,-0.091,66,90,24,36.36,207,0.115942029,2.22,1.62,0.46,1.15,5.45,6.055555556,0.41
"LH194","KM194","LH","Stress","KM169",11,5,6,0.833333333,-0.091,67,111,44,65.67,193,0.227979275,4.16,2.4,1.09,2.54,10.19,9.18018018,6.955
"LH195","KM195","LH","Control","KM169",11,5,6,0.833333333,-0.091,63,90,27,42.86,163,0.165644172,2.51,1.77,0.73,1.57,6.58,7.311111111,0.44
"LH196","KM196","LH","Stress","KM169",11,5,6,0.833333333,-0.091,61,101,40,65.57,186,0.215053763,3.46,2.67,0.97,2.15,9.25,9.158415842,3.655
"LH197","KM197","LH","Stress","KM181",11,4,7,0.571428571,-0.273,48,75,27,56.25,150,0.18,3.73,2.29,0.83,1.98,8.83,11.77333333,0.155
"LH198","KM198","LH","Control","KM181",11,4,7,0.571428571,-0.273,51,80,29,56.86,171,0.169590643,1.93,1.17,0.37,1.06,4.53,5.6625,0.475
"LH199","KM199","LH","Stress","KM181",11,4,7,0.571428571,-0.273,62,102,40,64.52,211,0.18957346,1.43,0.88,0.27,0.8,3.38,3.31372549,0.625
"LH200","KM200","LH","Control","KM181",11,4,7,0.571428571,-0.273,54,81,27,50,151,0.178807947,2.2,1.33,0.5,1.18,5.21,6.432098765,0.21
"LH201","KM201","LH","Control","KM170",11,4,7,0.571428571,-0.273,57,82,25,43.86,181,0.138121547,1.91,1.35,0.41,1.13,4.8,5.853658537,0.41
"LH202","KM202","LH","Stress","KM170",11,4,7,0.571428571,-0.273,55,88,33,60,168,0.196428571,2.71,1.37,0.57,1.81,6.46,7.340909091,0.61
"LH203","KM203","LH","Stress","KM170",11,4,7,0.571428571,-0.273,48,77,29,60.42,158,0.183544304,1.89,1.1,0.47,1.01,4.47,5.805194805,5.44
"LH204","KM204","LH","Control","KM170",11,4,7,0.571428571,-0.273,46,68,22,47.83,132,0.166666667,1.47,0.95,0.27,0.8,3.49,5.132352941,0.24
"LH205","KM205","LH","Stress","KM188",13,7,6,1.166666667,0.077,60,99,39,65,167,0.233532934,3.07,1.97,0.81,1.78,7.63,7.707070707,5.31
"LH206","KM206","LH","Stress","KM188",13,7,6,1.166666667,0.077,58,85,27,46.55,167,0.161676647,2.38,1.27,0.58,1.29,5.52,6.494117647,1.26
"LH207","KM207","LH","Control","KM188",13,7,6,1.166666667,0.077,58,91,33,56.9,228,0.144736842,2.31,1.7,0.46,1.33,5.8,6.373626374,0.705
"LH208","KM208","LH","Control","KM188",13,7,6,1.166666667,0.077,55,87,32,58.18,153,0.209150327,2.59,1.66,0.6,1.55,6.4,7.356321839,4.515
"LH209","KM209","LH","Control","KM163",13,6,7,0.857142857,-0.077,61,92,31,50.82,182,0.17032967,2.72,1.58,0.59,1.46,6.35,6.902173913,0.59
"LH210","KM210","LH","Stress","KM163",13,6,7,0.857142857,-0.077,60,97,37,61.67,200,0.185,3.51,1.56,0.75,1.9,7.72,7.958762887,1.24
"LH211","KM211","LH","Stress","KM163",13,6,7,0.857142857,-0.077,56,83,27,48.21,189,0.142857143,2.1,1.33,0.37,1.12,4.92,5.927710843,0.985
"LH212","KM212","LH","Control","KM163",13,6,7,0.857142857,-0.077,53,77,24,45.28,144,0.166666667,1.53,0.79,0.27,0.91,3.5,4.545454545,0.32
