"","symbol","logFC","P.Value","adj.P.Val","description","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","Crlf1",0.643512262147118,2e-04,0.68415,"cytokine receptor-like factor 1","blue",-0.771531977024858,0.00028646137763537
"2","Rubcn",0.503117738704307,8e-04,0.975036798561151,"RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein","blue",-0.762962531227819,0.000367477811937255
"3","Rpusd1",0.531992951537874,0.0014,0.975036798561151,"RNA pseudouridylate synthase domain containing 1","blue",-0.715791546194836,0.0012325016138613
"4","Mmgt1",0.409840710138639,0.0016,0.975036798561151,"membrane magnesium transporter 1","blue",-0.721387092390402,0.00108111365598174
"5","Nipa1",-0.314997790299558,0.0016,0.975036798561151,"non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human)","blue",0.76693220802709,0.000327852991571307
"6","Dmtn",0.440970442719601,0.0018,0.975036798561151,"dematin actin binding protein","blue",-0.611307811117561,0.00912623931275108
"7","Tbl2",0.417014279334694,0.0018,0.975036798561151,"transducin (beta)-like 2","blue",-0.673319259552773,0.00304929169271138
"8","Pabpc1",-0.211400198879734,0.002,0.975036798561151,"poly(A) binding protein, cytoplasmic 1","blue",0.687770973617039,0.002277435319809
"9","Rpp25",-0.535628619504362,0.0026,0.975036798561151,"ribonuclease P/MRP 25 subunit","blue",0.673499795073741,0.00303848350381315
"10","Dynll1",0.194134316604584,0.0028,0.975036798561151,"dynein light chain LC8-type 1","blue",-0.782320866536484,0.000206186310164938
"11","Lztfl1",-0.295450830859828,0.0032,0.975036798561151,"leucine zipper transcription factor-like 1","blue",0.610554836098185,0.00923606550881554
"12","Nr2f6",0.377808176268496,0.0032,0.975036798561151,"nuclear receptor subfamily 2, group F, member 6","blue",-0.618743432471097,0.00809665436660638
"13","Pdzd8",-0.330323896943623,0.0032,0.975036798561151,"PDZ domain containing 8","blue",0.732194452284544,0.000831993405414371
"14","Myom1",-0.535791551692735,0.0034,0.975036798561151,"myomesin 1","blue",0.716549613192817,0.00121102432696527
"15","Ddit4",0.536471103937695,0.0036,0.975036798561151,"DNA-damage-inducible transcript 4","blue",-0.854871272256695,1.23385963595806e-05
"16","Mrpl49",0.214187006740267,0.0042,0.975036798561151,"mitochondrial ribosomal protein L49","blue",-0.726220366435572,0.00096302479833807
"17","Arfgap1",0.224217276537603,0.0058,0.975036798561151,"ADP-ribosylation factor GTPase activating protein 1","blue",-0.628225595654345,0.00692075795289904
"18","Usf3",-0.488009343795251,0.006,0.975036798561151,"upstream transcription factor family member 3","blue",0.621245006451908,0.00777197550920664
"19","Lysmd4",0.346453890869524,0.007,0.975036798561151,"LysM, putative peptidoglycan-binding, domain containing 4","blue",-0.615285824166589,0.00856318441315059
"20","Tlk2",-0.185807727874333,0.007,0.975036798561151,"tousled-like kinase 2 (Arabidopsis)","blue",0.594717134667801,0.0118010542880723
"21","Zmpste24",0.16551982535479,0.0076,0.975036798561151,"zinc metallopeptidase, STE24","blue",-0.53421051153013,0.0271750744915883
"22","Msrb1",0.26519341471716,0.008,0.975036798561151,"methionine sulfoxide reductase B1","blue",-0.590729152898172,0.0125283812475908
