"","symbol","logFC","P.Value","adj.P.Val","description","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","Tada2b",-0.368282160906658,0.0044,0.975036798561151,"transcriptional adaptor 2B","yellow",0.604856232439492,0.0101018476207373
"2","Ankrd49",-0.392296026041085,0.009,0.975036798561151,"ankyrin repeat domain 49","yellow",0.53539725389092,0.0267713462626254
"3","Pyroxd1",-0.302890148643528,0.0156,0.975036798561151,"pyridine nucleotide-disulphide oxidoreductase domain 1","yellow",0.476240504677878,0.0532930207635001
"4","Rai1",-0.383126922891052,0.0192,0.975036798561151,"retinoic acid induced 1","yellow",0.650995066122407,0.00464930725883348
"5","Bud31",0.189763169050288,0.025,0.975036798561151,"BUD31 homolog","yellow",-0.61592775450912,0.0084749850325146
"6","Echs1",0.127992034918318,0.0262,0.975036798561151,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial","yellow",-0.557340945125176,0.0201069776190048
"7","Sox5",-0.248819011592671,0.0298,0.975036798561151,"SRY (sex determining region Y)-box 5","yellow",0.505371184108862,0.0385108981956706
"8","Map4k3",-0.298082020758047,0.03,0.975036798561151,"mitogen-activated protein kinase kinase kinase kinase 3","yellow",0.573046543578386,0.0161915668501757
"9","Rlf",-0.458180418920766,0.0316,0.975036798561151,"rearranged L-myc fusion sequence","yellow",0.485461933585148,0.0482192330913099
"10","Mblac1",-0.265477333816294,0.0342,0.975036798561151,"metallo-beta-lactamase domain containing 1","yellow",0.51220213594685,0.0355487074580952
"11","Cops3",0.156566206904747,0.0352,0.975036798561151,"COP9 signalosome subunit 3","yellow",-0.592807248130272,0.0121450809156878
"12","Synj1",-0.144122126008947,0.0356,0.975036798561151,"synaptojanin 1","yellow",0.690877709101745,0.00213447103465955
"13","Diaph2",-0.445246364854832,0.0364,0.975036798561151,"diaphanous related formin 2","yellow",0.480204905288398,0.0510650783860857
