"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Creld2",79.8951049989114,-0.438554025257798,0.106913233207684,-4.10196204997268,4.09661474777329e-05,0.286845094350981
"Col9a1",13.430764182506,1.2869333409465,0.315923122030358,4.07356489982659,4.62989418692569e-05,0.286845094350981
"Rubcn",66.0264789084279,-0.503329272053195,0.128644145460322,-3.91257037195243,9.13189147449895e-05,0.320185856410003
"Ngef",67.0353885948585,-0.525689892730118,0.135397610030153,-3.88256404683248,0.000103360780053266,0.320185856410003
"Crlf1",33.2367525006942,-0.635499792798676,0.172090108189653,-3.69283161876056,0.000221770868594104,0.549592566549909
"Atp6v0a2",47.0333406265439,0.535133966044078,0.148636499629847,3.60028638575812,0.000317866880931947,0.656448086937959
"Abhd12",436.614404742614,-0.239524207814247,0.0714240420958523,-3.35355156031076,0.000797815480118966,0.999563971498878
"Azgp1",34.7665124430627,-0.646899430949277,0.197352059298096,-3.27789551956055,0.0010458409827342,0.999563971498878
"CUNH17orf80",19.4864706267599,-0.741267432758866,0.227745973877097,-3.2547992842187,0.00113472530520574,0.999563971498878
"Nipa1",171.442914919726,0.306389827755619,0.0945162127588703,3.2416642479876,0.00118833934459054,0.999563971498878
"Rpusd1",36.1971171644096,-0.512316796897731,0.158493422466439,-3.2324167711516,0.00122747886891259,0.999563971498878
"Mdga2",102.156711945149,0.496741878035403,0.157794782067345,3.14802474154943,0.00164377779682845,0.999563971498878
"Znf775",103.735963034761,-0.317597783420732,0.101149686901955,-3.13987905596367,0.0016901759719395,0.999563971498878
"Map4k1",97.2677632465015,-0.382438919376698,0.122114670029406,-3.13180160323576,0.00173737235315371,0.999563971498878
"Rpp25",24.3694359272845,0.56321006388564,0.182376817060464,3.08816697737913,0.00201395276455764,0.999563971498878
"Dmtn",43.0792956127276,-0.467873300967768,0.152331286960177,-3.07141960331552,0.00213043528257862,0.999563971498878
"Mxd4",145.32208193885,-0.306941772538529,0.100733268345917,-3.04707449265415,0.00231080434941491,0.999563971498878
"Pabpc1",237.241999791235,0.211731427357763,0.0697202302681879,3.03687217531139,0.00239046802551996,0.999563971498878
"LOC121140753",13.0882961113767,0.76783220428955,0.253922482456163,3.02388428492978,0.00249551868936608,0.999563971498878
"Nr2f6",76.3249127296665,-0.391049644797325,0.12994336624989,-3.00938521205699,0.00261776977151527,0.999563971498878
