"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrc1",12.329270973974,1.35302660232483,0.318520736214063,4.24784464084476,2.15836980149113e-05,0.175995854477518
"S100a10",22.7211845102191,-0.844746885503442,0.202027052993587,-4.18135528379092,2.89776660043663e-05,0.175995854477518
"Cnksr3",17.5142528767661,0.974965421707736,0.255819657695136,3.81114348479669,0.00013832544397291,0.500510124036577
"Kirrel3",60.494854622393,0.535509417158661,0.142589551789045,3.7556006764852,0.000172926228460078,0.500510124036577
"Bcas1",114.910830349293,0.515184209401576,0.140901738413359,3.6563367862091,0.000255845179497199,0.500510124036577
"Clk1",64.4329549235981,-0.58852994962723,0.163073199805648,-3.60899246674895,0.000307388534823369,0.500510124036577
"Stip1",439.914643454394,-0.221847261451367,0.0617968898386598,-3.58994218043285,0.000330751318956015,0.500510124036577
"Stmp1",65.857668621284,0.417870630694641,0.116845394802423,3.57626957742949,0.000348532245085206,0.500510124036577
"Desi1",91.3119578944051,0.492403003573577,0.139357929822796,3.53336910357168,0.000410299208555856,0.500510124036577
"Samd8",183.205196287277,0.266754043347305,0.0757538906503609,3.52132466144212,0.000429396535832074,0.500510124036577
"Chordc1",123.412199449498,-0.293466754623272,0.083681117224346,-3.50696506401197,0.000453248651058067,0.500510124036577
"Rasgrp1",9.76098786976372,1.49922543507791,0.431627433397756,3.47342480823347,0.000513861323298387,0.520156124508793
"Vtn",28.973480646428,0.571333349356661,0.166463620806109,3.43218143754143,0.000598746842651523,0.559459838283696
"Acta2",14.4550083898534,1.2638126437519,0.372638196962249,3.39152736905265,0.000695042209892076,0.568532072310224
"Gad1",281.858263642876,-0.396173700884786,0.11690776350118,-3.38877153253203,0.000702064796629074,0.568532072310224
"Sv2b",40.9042039472188,0.710716195707712,0.21297169771772,3.33713917541155,0.000846455503436295,0.580792684129597
"Cbln1",83.8546500438382,0.572574863077331,0.17209780150163,3.32703182772447,0.000877763473118326,0.580792684129597
"Med9",48.0143978637426,-0.457119220999337,0.137686223327636,-3.32000696911835,0.000900152009836077,0.580792684129597
"Hmgn5",91.9302131566952,-0.406620052495354,0.122855518034191,-3.30974187404584,0.000933820449047533,0.580792684129597
"Cct8",660.388876958055,-0.146463985930389,0.0445210262025916,-3.2897711131794,0.00100268909656176,0.580792684129597
"Fah",37.1408194454705,0.48961744772557,0.148847987826959,3.28937901595799,0.00100408712988569,0.580792684129597
"Tmem125",23.2734161667119,0.638602375218739,0.197454890962267,3.23416843263089,0.00121997484525349,0.589429980635798
"Prkcd",19.8453636960599,1.64949425409835,0.510382944407542,3.23187573599877,0.00122980523705555,0.589429980635798
"Ddx17",579.545276406858,-0.165749259051891,0.0514945544921351,-3.21877256122696,0.00128740553894235,0.589429980635798
"Fndc3b",18.0988115235799,-0.796701648210821,0.247646042156168,-3.21709824745922,0.00129494246395988,0.589429980635798
"Slc15a2",22.6567802486386,0.631566462306974,0.196458650458279,3.21475517027995,0.00130555821520092,0.589429980635798
"Eepd1",7.27455124332998,1.15920171457502,0.36158368450681,3.20590160520141,0.00134640019029165,0.589429980635798
"Cdh6",37.8449577802996,0.738149107631185,0.231227526475624,3.19230637840603,0.00141141536015135,0.589429980635798
"Krtcap3",21.7814274575255,-1.03572945279119,0.3251435494355,-3.18545287024571,0.00144527642764855,0.589429980635798
"Cx3cl1",234.549444814363,0.353568899972605,0.111822858389246,3.16186605373529,0.00156761653763877,0.589429980635798
