"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0008380","GO:0008380","RNA splicing",0.0551181102362205,0.0157412212419997,0.0615384615384615,3.5015142337977,7.1935313569506,1.25408355665619e-08,4.56611822978518e-05,3.88897911358856e-05,"Lsm6/Snrpc/Clns1a/Ncbp1/Srsf1/Hnrnpll/Txnl4a/Snrpf/Lsm1/Ddx17/Ddx39a/Srsf3/Snrpa1/Ddx47/Ubl5/Zpr1/Smndc1/Eif1/Hnrnpl/Hnrnph2/Crnkl1/Scaf1/Snrpb/Rsrp1/Hnrnph1/Snrnp35/Srpk2/Plrg1",28,"Up","Control - Stress"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",0.0531496062992126,0.0152914720636568,0.0610859728506787,3.47576780560801,7.01544637238774,2.665570499365e-08,4.85267109409398e-05,4.13303720585752e-05,"Rpusd1/Lsm6/Snrpc/Clns1a/Rpl38/Ncbp1/Pin4/Trmt112/Ruvbl1/Srsf1/Eif6/Rpf1/Snrpf/Ngdn/Ddx17/Ddx47/Crnkl1/Exosc8/Rpp30/Snrpb/Fau/Rsrp1/Fbl/Ckap5/Srpk2/Utp20/Grwd1",27,"Up","Control - Stress"
"GO:0022411","GO:0022411","cellular component disassembly",0.0492125984251969,0.0171596609583117,0.0504032258064516,2.86792370459741,5.61237392247073,2.99641569194738e-06,0.000733688971986638,0.000624885503251748,"Ddit4/Rubcn/Dmtn/Ascc2/Napa/Carmil1/Eif5a/Zmpste24/Chmp6/Cdk5rap3/Fis1/Cisd2/Skic8/Skic3/Map1s/Gabarapl2/Atg10/Bmerb1/Flii/Stmn3/Capza2/Katnb1/Gak/Pdpn/Grwd1",25,"Up","Control - Stress"
"GO:0072594","GO:0072594","establishment of protein localization to organelle",0.047244094488189,0.0156374329700744,0.0530973451327434,3.02121803358651,5.79285889095744,1.93649143479051e-06,0.000658580818592442,0.000560915622247599,"Acd/Nup50/Vps8/Ssr3/Dmap1/Lamp1/Srprb/Fis1/Srp9/Sh3glb1/Agap3/Pmpcb/Grpel1/Get1/Cct8/Fam53a/Zpr1/Nup35/Ndufa13/Cct7/Maip1/Vps13a/Nup155/Hikeshi",24,"Up","Control - Stress"
"GO:0016050","GO:0016050","vesicle organization",0.0452755905511811,0.0126275730842415,0.063013698630137,3.58545464351203,6.64861172129571,1.65953195176392e-07,0.000201411861212414,0.000171543197540228,"Vps8/Bloc1s4/Doc2a/Atp6v1f/Chmp6/Trappc3/Rnasek/Snx19/Slc9a8/Rab1a/Rab12/Stx1b/Snx3/Pikfyve/Atp6v0d1/Atp6v0e2/Mta1/Arl8b/Trappc10/Fnbp1l/Trappc1/Dnm2/Unc13a",23,"Up","Control - Stress"
"GO:0051656","GO:0051656","establishment of organelle localization",0.0452755905511811,0.0172288531395952,0.0461847389558233,2.62789346361825,4.9012015797259,2.964205875919e-05,0.00359755786474036,0.0030640528106868,"Bicdl1/Bloc1s4/Borcs7/Dynll1/Exoc7/Lamp1/Chmp6/Chga/Trappc3/Eif6/Rab1a/Map1s/Mecp2/Tle6/Eipr1/Nudc/Pard3/Trappc10/Fnbp1l/Trappc1/Dnm2/Actr10/Unc13a",23,"Up","Control - Stress"
"GO:0019693","GO:0019693","ribose phosphate metabolic process",0.0433070866141732,0.016398546964193,0.0464135021097046,2.64090999700987,4.81784100659994,4.08582320121165e-05,0.00422305524467008,0.00359679115072437,"Ddit4/Git1/Gpam/Pdk1/Ndufa3/Gmps/Nudt2/Fis1/Ndufb2/Prps1/Eif6/Ndufb8/Pank2/Ndufa2/Suclg2/Prkaca/Mcee/Pkm/Ndufa13/Hint1/Ndufa9/Ndufc2",22,"Up","Control - Stress"
"GO:0006644","GO:0006644","phospholipid metabolic process",0.0413385826771654,0.0127313613561668,0.0570652173913043,3.2469884029442,5.80223323538023,2.77847317998353e-06,0.000733688971986638,0.000624885503251748,"Gpam/Dhdds/Plppr3/Fig4/Vac14/Pip4p1/Pyurf/Sh3glb1/Bscl2/Pigv/Gpaa1/Inppl1/Mboat2/Pikfyve/Chkb/Mecp2/Pigu/Plppr1/Pcyt1a/Pigk/Smpd1",21,"Up","Control - Stress"
"GO:0034470","GO:0034470","ncRNA processing",0.0413385826771654,0.0142189932537623,0.0510948905109489,2.90727915397437,5.20874459418138,1.50294794467611e-05,0.00203329490712959,0.00173176449396602,"Rpusd1/Trdmt1/Lsm6/Gon7/Ncbp1/Pin4/Trmt112/Zmpste24/Eif6/Rpf1/Ngdn/Ddx17/Srsf3/Mecp2/Ddx47/Elp1/Exosc8/Rpp30/Nup155/Fbl/Utp20",21,"Up","Control - Stress"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",0.0413385826771654,0.0152568759730151,0.0476190476190476,2.70950506186727,4.83856210915669,4.21570454094885e-05,0.00422305524467008,0.00359679115072437,"Ddit4/Git1/Gpam/Pdk1/Ndufa3/Gmps/Nudt2/Fis1/Ndufb2/Eif6/Ndufb8/Pank2/Ndufa2/Suclg2/Prkaca/Mcee/Pkm/Ndufa13/Hint1/Ndufa9/Ndufc2",21,"Up","Control - Stress"
