"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0060485","GO:0060485","mesenchyme development",0.161290322580645,0.0108631724615118,0.0159235668789809,14.8474419560304,8.08399525266309,1.97465431135964e-05,0.00525828378241246,0.00327979653690568,"Hey2/Msx1/Tmem100/Nckap1/Smo",5,"Up","Control - Stress"
"GO:0051146","GO:0051146","striated muscle cell differentiation",0.161290322580645,0.0122124199965404,0.0141643059490085,13.2070730147126,7.56113465820323,3.455608181213e-05,0.00525828378241246,0.00327979653690568,"Myl9/Hey2/Msx1/Ehd1/Smo",5,"Up","Control - Stress"
"GO:0042692","GO:0042692","muscle cell differentiation",0.161290322580645,0.0164677391454766,0.0105042016806723,9.79432095418813,6.33915456547774,0.000141484018864412,0.00925312354618554,0.00577153379660619,"Myl9/Hey2/Msx1/Ehd1/Smo",5,"Up","Control - Stress"
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation",0.129032258064516,0.00598512368102404,0.023121387283237,21.5588290136118,8.8867884593092,3.43703086230235e-05,0.00525828378241246,0.00327979653690568,"Hey2/Msx1/Tmem100/Smo",4,"Up","Control - Stress"
"GO:0050821","GO:0050821","protein stabilization",0.129032258064516,0.00705760249091853,0.0196078431372549,18.2827324478178,8.11680890106942,6.52795802697298e-05,0.00745003209828292,0.00464687538498998,"Zswim7/Msx1/Nckap1/Smo",4,"Up","Control - Stress"
"GO:0009952","GO:0009952","anterior/posterior pattern specification",0.129032258064516,0.0083030617540218,0.0166666666666667,15.5403225806452,7.41156692383245,0.000122280439439237,0.00925312354618554,0.00577153379660619,"Hey2/Msx1/Nckap1/Smo",4,"Up","Control - Stress"
"GO:0048762","GO:0048762","mesenchymal cell differentiation",0.129032258064516,0.0087874070230064,0.015748031496063,14.6837693675387,7.17726624402338,0.000152022840298777,0.00925312354618554,0.00577153379660619,"Hey2/Msx1/Tmem100/Smo",4,"Up","Control - Stress"
"GO:0003007","GO:0003007","heart morphogenesis",0.129032258064516,0.0101712506486767,0.0136054421768707,12.6859776168532,6.59900628195408,0.000265702090784523,0.0134770004936816,0.0084061304745279,"Hey2/Msx1/Tmem100/Smo",4,"Up","Control - Stress"
"GO:0031647","GO:0031647","regulation of protein stability",0.129032258064516,0.0110015568240789,0.0125786163522013,11.7285453438831,6.30342304820446,0.000357769791047631,0.0155544675822137,0.00970192766700593,"Zswim7/Msx1/Nckap1/Smo",4,"Up","Control - Stress"
"GO:0003002","GO:0003002","regionalization",0.129032258064516,0.0154990486075074,0.00892857142857143,8.32517281105991,5.11998477981769,0.00128602925046254,0.0391381568557433,0.0244119938421135,"Hey2/Msx1/Nckap1/Smo",4,"Up","Control - Stress"
