"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",0.0631578947368421,0.0152914720636568,0.0271493212669683,4.13026911169326,5.39453280573405,3.94566582247175e-05,0.00627360865773008,0.00562776546257812,"Nop16/Rpsa/Nle1/Snu13/Nop53/Rps28/Rplp0/Rrp1/Adar/Rcl1/Rps19/Rps16",12,"Up","Control - Stress"
"GO:0042254","GO:0042254","ribosome biogenesis",0.0578947368421053,0.0110707490053624,0.034375,5.22952302631579,6.18868886265103,9.67131419888533e-06,0.00230660843643415,0.00206915222202468,"Nop16/Rpsa/Nle1/Snu13/Nop53/Rps28/Rplp0/Rrp1/Rcl1/Rps19/Rps16",11,"Up","Control - Stress"
"GO:0002181","GO:0002181","cytoplasmic translation",0.0526315789473684,0.00529320186818889,0.065359477124183,9.94324045407637,9.02210667181649,7.55612806336835e-08,3.6042730862267e-05,3.23322742922025e-05,"Rpsa/Rps28/Rplp0/Rpl36/Rpl28/Rpl34/Rps19/Uba52/Rpl30/Rps16",10,"Up","Control - Stress"
"GO:0031647","GO:0031647","regulation of protein stability",0.0526315789473684,0.0110015568240789,0.0314465408805031,4.78401191658391,5.51928892255966,5.23645053463805e-05,0.00767491832153006,0.00688481583957182,"Gipc1/Pex6/Cdc37/Dpm2/Cct4/Nop53/Cct3/Hypk/Calr/Ddrgk1",10,"Up","Control - Stress"
"GO:0034470","GO:0034470","ncRNA processing",0.0526315789473684,0.0142189932537623,0.024330900243309,3.70149827122551,4.4869399714351,0.000416838567441866,0.0334195969662112,0.0299791816545622,"Rpp25l/Snu13/Nop53/Tsen34/Rps28/Rrp1/Adar/Rcl1/Rps19/Rps16",10,"Up","Control - Stress"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process",0.0526315789473684,0.0152568759730151,0.0226757369614512,3.44969566774078,4.21681771755035,0.000717858915832833,0.0472301659106567,0.0423680071558688,"Oxsm/Mlycd/Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad/Nudt9",10,"Up","Control - Stress"
"GO:0009259","GO:0009259","ribonucleotide metabolic process",0.0526315789473684,0.0159142016952084,0.0217391304347826,3.30720823798627,4.05755209962962,0.000988066626842082,0.0527944878304669,0.0473595041445102,"Oxsm/Mlycd/Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad/Nudt9",10,"Up","Control - Stress"
"GO:0019693","GO:0019693","ribose phosphate metabolic process",0.0526315789473684,0.016398546964193,0.0210970464135021,3.20952698201199,3.94542486252021,0.00123643056824353,0.0572004158180133,0.0513118592740206,"Oxsm/Mlycd/Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad/Nudt9",10,"Up","Control - Stress"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy",0.0526315789473684,0.0168828922331777,0.0204918032786885,3.11745038826575,3.83738528130289,0.00153359227608078,0.0609602929742111,0.0546846719497226,"Ndufa11/Bpgm/Ndufa7/Gadd45gip1/Nop53/Sdhaf2/Etfb/Ndufb10/Mpi/Arl2",10,"Up","Control - Stress"
"GO:0032543","GO:0032543","mitochondrial translation",0.0473684210526316,0.00449749178342847,0.0692307692307692,10.5321862348178,8.86049313083997,2.10471397509593e-07,8.03158852896608e-05,7.2047682600126e-05,"Mrpl34/Tsfm/Ndufa7/Gadd45gip1/Mrps26/Mrpl23/Mrpl43/Mrpl11/Mrpl51",9,"Up","Control - Stress"
"GO:0140053","GO:0140053","mitochondrial gene expression",0.0473684210526316,0.0057775471371735,0.0538922155688623,8.19870784746297,7.58902316183631,1.73544960280397e-06,0.000551872973691662,0.000495059834063027,"Mrpl34/Tsfm/Ndufa7/Gadd45gip1/Mrps26/Mrpl23/Mrpl43/Mrpl11/Mrpl51",9,"Up","Control - Stress"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.0473684210526316,0.0136308597128524,0.0228426395939086,3.47508682874699,4.02377501266663,0.00125211155313237,0.0572004158180133,0.0513118592740206,"Cdc34/Gipc1/Fbxl15/Rnf126/Psmb5/Dmac2/Nop53/Rbck1/Ddrgk1",9,"Up","Control - Stress"
"GO:0022618","GO:0022618","protein-RNA complex assembly",0.0421052631578947,0.00619270022487459,0.0446927374301676,6.79917671273155,6.3307715886273,2.5752670368492e-05,0.00491360950630828,0.00440777284412295,"Rpsa/Nle1/Snu13/Nop53/Rps28/Rplp0/Adar/Rps19",8,"Up","Control - Stress"
"GO:0071826","GO:0071826","protein-RNA complex organization",0.0421052631578947,0.00653866113129216,0.0423280423280423,6.43943191311612,6.10272554597924,3.79492667028595e-05,0.00627360865773008,0.00562776546257812,"Rpsa/Nle1/Snu13/Nop53/Rps28/Rplp0/Adar/Rps19",8,"Up","Control - Stress"
"GO:0045333","GO:0045333","cellular respiration",0.0421052631578947,0.00882200311364816,0.0313725490196078,4.77275541795666,4.92229675620467,0.00030033162396598,0.0280117278650962,0.025128031285803,"Ndufa11/Ndufa7/Gadd45gip1/Nop53/Sdhaf2/Etfb/Ndufb10/Arl2",8,"Up","Control - Stress"
"GO:0016072","GO:0016072","rRNA metabolic process",0.0421052631578947,0.00885659920428991,0.03125,4.75411184210526,4.90765268775007,0.000308305180905147,0.0280117278650962,0.025128031285803,"Trir/Snu13/Nop53/Rps28/Rrp1/Rcl1/Rps19/Rps16",8,"Up","Control - Stress"
"GO:0048193","GO:0048193","Golgi vesicle transport",0.0421052631578947,0.00972150147033385,0.0284697508896797,4.33114815508522,4.56439595111146,0.000571285854217242,0.0433495285995353,0.0388868661055084,"Gga1/Trappc6a/Copz1/Chic2/Arf1/Sar1a/Arf5/Yif1a",8,"Up","Control - Stress"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",0.0421052631578947,0.0121432278152569,0.0227920227920228,3.46738641475484,3.78319401801168,0.00234687489997992,0.0639691044165955,0.0573837381559,"Ndufa11/Ndufa7/Gadd45gip1/Nop53/Sdhaf2/Etfb/Ndufb10/Arl2",8,"Up","Control - Stress"
"GO:0044282","GO:0044282","small molecule catabolic process",0.0421052631578947,0.0122124199965404,0.0226628895184136,3.44774116594603,3.76388149683505,0.0024302072241372,0.065307540614842,0.0585843876419139,"Mlycd/Echs1/Mgat1/Gatd1/Etfb/Acadvl/Mpi/Bad",8,"Up","Control - Stress"
"GO:0140236","GO:0140236","translation at presynapse",0.0368421052631579,0.0016260162601626,0.148936170212766,22.6578947368421,12.0874145651567,2.39001094841791e-08,1.76973004193426e-05,1.58754333453884e-05,"Rpl37/Rps28/Rpl36/Rpl28/Rpl34/Uba52/Rps16",7,"Up","Control - Stress"
"GO:0140241","GO:0140241","translation at synapse",0.0368421052631579,0.00166061235080436,0.145833333333333,22.1858552631579,11.9492980649586,2.78259440555701e-08,1.76973004193426e-05,1.58754333453884e-05,"Rpl37/Rps28/Rpl36/Rpl28/Rpl34/Uba52/Rps16",7,"Up","Control - Stress"
"GO:0140242","GO:0140242","translation at postsynapse",0.0368421052631579,0.00166061235080436,0.145833333333333,22.1858552631579,11.9492980649586,2.78259440555701e-08,1.76973004193426e-05,1.58754333453884e-05,"Rpl37/Rps28/Rpl36/Rpl28/Rpl34/Uba52/Rps16",7,"Up","Control - Stress"
"GO:0009060","GO:0009060","aerobic respiration",0.0368421052631579,0.00688462203770974,0.0351758793969849,5.35136207352552,5.01033523023451,0.00036220371540559,0.0314129404088121,0.0281791024521287,"Ndufa11/Ndufa7/Gadd45gip1/Nop53/Sdhaf2/Ndufb10/Arl2",7,"Up","Control - Stress"
"GO:0050821","GO:0050821","protein stabilization",0.0368421052631579,0.00705760249091853,0.0343137254901961,5.22020123839009,4.92040775610396,0.00042037228888316,0.0334195969662112,0.0299791816545622,"Pex6/Cdc37/Cct4/Nop53/Cct3/Hypk/Calr",7,"Up","Control - Stress"
"GO:0006364","GO:0006364","rRNA processing",0.0368421052631579,0.00747275557861962,0.0324074074074074,4.93019005847953,4.71611175237216,0.000590716846744192,0.0433495285995353,0.0388868661055084,"Snu13/Nop53/Rps28/Rrp1/Rcl1/Rps19/Rps16",7,"Up","Control - Stress"
"GO:0046034","GO:0046034","ATP metabolic process",0.0368421052631579,0.00802629302888774,0.0301724137931034,4.59017695099819,4.46606093147289,0.000898581766014867,0.0527944878304669,0.0473595041445102,"Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad",7,"Up","Control - Stress"
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process",0.0368421052631579,0.00889119529493167,0.0272373540856031,4.14366168339136,4.11771774367282,0.00161899787302297,0.0617809588345566,0.0554208535060074,"Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad",7,"Up","Control - Stress"
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process",0.0368421052631579,0.00913336792942398,0.0265151515151515,4.03379186602871,4.02805156792955,0.00188500286205211,0.0620100941516453,0.0556264002485795,"Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad",7,"Up","Control - Stress"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process",0.0368421052631579,0.00920256011070749,0.0263157894736842,4.00346260387812,4.00299904919094,0.00196690258936546,0.0620557627162529,0.0556673674151094,"Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad",7,"Up","Control - Stress"
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process",0.0368421052631579,0.00927175229199101,0.0261194029850746,3.97358601728201,3.97818987399318,0.0020515338620751,0.0620557627162529,0.0556673674151094,"Mlycd/Bpgm/Mgat1/Hyal2/Mpi/Arl2/Nudt9",7,"Up","Control - Stress"
"GO:0000209","GO:0000209","protein polyubiquitination",0.0368421052631579,0.00941013665455804,0.0257352941176471,3.91515092879257,3.92928413427122,0.00222923520597749,0.0628674345115292,0.0563954808097465,"Cdc34/Rnf126/Rbck1/Ube2v1/Tnks/Tnks2/Anapc13",7,"Up","Control - Stress"
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process",0.0368421052631579,0.00972150147033385,0.0249110320284698,3.78975463569957,3.82256932773853,0.00267247310857673,0.0691060912798896,0.0619918925417084,"Ndufa11/Bpgm/Ndufa7/Ndufb10/Mpi/Arl2/Bad",7,"Up","Control - Stress"
"GO:0042255","GO:0042255","ribosome assembly",0.0315789473684211,0.00228334198235599,0.0909090909090909,13.8301435406699,8.48818328877419,4.88002618935585e-06,0.00133015570989871,0.00119322144118686,"Rpsa/Nle1/Nop53/Rps28/Rplp0/Rps19",6,"Up","Control - Stress"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",0.0315789473684211,0.00356339733610102,0.058252427184466,8.86203372508942,6.50194896354472,6.28091452100221e-05,0.00798932327071481,0.007166854042912,"Rpsa/Snu13/Rps28/Rcl1/Rps19/Rps16",6,"Up","Control - Stress"
"GO:0006457","GO:0006457","protein folding",0.0315789473684211,0.00595052759038229,0.0348837209302326,5.30691554467564,4.60830756842136,0.000996122411895603,0.0527944878304669,0.0473595041445102,"Cdc37/Cct4/Cct3/Fkbp8/Calr/Arl2",6,"Up","Control - Stress"
