"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0006020","GO:0006020","inositol metabolic process",0.111111111111111,0.000345960906417575,0.1,321.166666666667,17.870887865553,0.00310977260534018,0.0518685747768996,0.0241933472013273,"Isyna1",1,"Up","Control - Stress"
"GO:1990264","GO:1990264","peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity",0.111111111111111,0.000345960906417575,0.1,321.166666666667,17.870887865553,0.00310977260534018,0.0518685747768996,0.0241933472013273,"Ptpn1",1,"Up","Control - Stress"
"GO:2000646","GO:2000646","positive regulation of receptor catabolic process",0.111111111111111,0.000345960906417575,0.1,321.166666666667,17.870887865553,0.00310977260534018,0.0518685747768996,0.0241933472013273,"Ptpn1",1,"Up","Control - Stress"
"GO:0045050","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence",0.111111111111111,0.000380556997059332,0.0909090909090909,291.969696969697,17.0341957938992,0.00342027656957411,0.0518685747768996,0.0241933472013273,"Emc8",1,"Up","Control - Stress"
"GO:0014889","GO:0014889","muscle atrophy",0.111111111111111,0.00041515308770109,0.0833333333333333,267.638888888889,16.3041874511013,0.00373069456330555,0.0518685747768996,0.0241933472013273,"Tbce",1,"Up","Control - Stress"
"GO:0030948","GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway",0.111111111111111,0.00041515308770109,0.0833333333333333,267.638888888889,16.3041874511013,0.00373069456330555,0.0518685747768996,0.0241933472013273,"Ptpn1",1,"Up","Control - Stress"
"GO:0048012","GO:0048012","hepatocyte growth factor receptor signaling pathway",0.111111111111111,0.00041515308770109,0.0833333333333333,267.638888888889,16.3041874511013,0.00373069456330555,0.0518685747768996,0.0241933472013273,"Ptpn1",1,"Up","Control - Stress"
"GO:0048934","GO:0048934","peripheral nervous system neuron differentiation",0.111111111111111,0.00041515308770109,0.0833333333333333,267.638888888889,16.3041874511013,0.00373069456330555,0.0518685747768996,0.0241933472013273,"Tbce",1,"Up","Control - Stress"
"GO:0048935","GO:0048935","peripheral nervous system neuron development",0.111111111111111,0.00041515308770109,0.0833333333333333,267.638888888889,16.3041874511013,0.00373069456330555,0.0518685747768996,0.0241933472013273,"Tbce",1,"Up","Control - Stress"
"GO:0035791","GO:0035791","platelet-derived growth factor receptor-beta signaling pathway",0.111111111111111,0.000449749178342847,0.0769230769230769,247.051282051282,15.6599319321754,0.00404102660736227,0.0518685747768996,0.0241933472013273,"Ptpn1",1,"Up","Control - Stress"
