"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0046165","GO:0046165","alcohol biosynthetic process",0.1875,0.00494724096177132,0.020979020979021,37.8999125874126,10.4101389489068,6.33338567334901e-05,0.0159628104754941,0.0083174644056522,"Pcbd1/Pmvk/Park7",3,"Up","Control - Stress"
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process",0.1875,0.0085452343885141,0.0121457489878543,21.9420546558704,7.77888833567829,0.000317934018860481,0.0159628104754941,0.0083174644056522,"Pcbd1/Pmvk/Park7",3,"Up","Control - Stress"
"GO:0006066","GO:0006066","alcohol metabolic process",0.1875,0.0122470160871821,0.00847457627118644,15.3098516949153,6.37527338536243,0.000906063533822824,0.0329477648662845,0.0171675195882219,"Pcbd1/Pmvk/Park7",3,"Up","Control - Stress"
"GO:1901857","GO:1901857","positive regulation of cellular respiration",0.125,0.000934094447327452,0.0740740740740741,133.819444444444,16.2492266552926,0.000100018751374922,0.0159628104754941,0.0083174644056522,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:0009072","GO:0009072","aromatic amino acid metabolic process",0.125,0.00117626708181975,0.0588235294117647,106.268382352941,14.4537056332539,0.000159498175601797,0.0159628104754941,0.0083174644056522,"Pcbd1/Park7",2,"Up","Control - Stress"
"GO:1903715","GO:1903715","regulation of aerobic respiration",0.125,0.00128005535374503,0.0540540540540541,97.652027027027,13.844465441417,0.000189167487454127,0.0159628104754941,0.0083174644056522,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:0140236","GO:0140236","translation at presynapse",0.125,0.0016260162601626,0.0425531914893617,76.875,12.2514426013878,0.000306052632921482,0.0159628104754941,0.0083174644056522,"Rpl36/Rpl28",2,"Up","Control - Stress"
"GO:0140241","GO:0140241","translation at synapse",0.125,0.00166061235080436,0.0416666666666667,75.2734375,12.1199621731937,0.000319256209509883,0.0159628104754941,0.0083174644056522,"Rpl36/Rpl28",2,"Up","Control - Stress"
"GO:0140242","GO:0140242","translation at postsynapse",0.125,0.00166061235080436,0.0416666666666667,75.2734375,12.1199621731937,0.000319256209509883,0.0159628104754941,0.0083174644056522,"Rpl36/Rpl28",2,"Up","Control - Stress"
"GO:0006473","GO:0006473","protein acetylation",0.125,0.00207576543850545,0.0333333333333333,60.21875,10.8061825709672,0.000499024201731176,0.0220034178242562,0.0114649387610598,"Naa50/Park7",2,"Up","Control - Stress"
"GO:0043457","GO:0043457","regulation of cellular respiration",0.125,0.00217955371043072,0.0317460317460317,57.3511904761905,10.5373982731741,0.000550085445606406,0.0220034178242562,0.0114649387610598,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:0043543","GO:0043543","protein acylation",0.125,0.00352880124545926,0.0196078431372549,35.4227941176471,8.19596422744919,0.00143270100479311,0.0477567001597703,0.0248837542937751,"Naa50/Park7",2,"Up","Control - Stress"
"GO:0006119","GO:0006119","oxidative phosphorylation",0.125,0.00512022141498011,0.0135135135135135,24.4130067567568,6.72030479450635,0.00298107297141331,0.0700129241988491,0.0364804183983477,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:0002181","GO:0002181","cytoplasmic translation",0.125,0.00529320186818889,0.0130718954248366,23.6151960784314,6.60062035296376,0.00318147707397877,0.0700129241988491,0.0364804183983477,"Rpl36/Rpl28",2,"Up","Control - Stress"
"GO:0170033","GO:0170033","L-amino acid metabolic process",0.125,0.00539699014011417,0.0128205128205128,23.1610576923077,6.53151792795597,0.00330468626273863,0.0700129241988491,0.0364804183983477,"Pcbd1/Park7",2,"Up","Control - Stress"
"GO:0043467","GO:0043467","regulation of generation of precursor metabolites and energy",0.125,0.00556997059332295,0.0124223602484472,22.4417701863354,6.42055667651752,0.00351495772508501,0.0700129241988491,0.0364804183983477,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:0043393","GO:0043393","regulation of protein binding",0.125,0.00678083376578447,0.0102040816326531,18.4343112244898,5.76363551288402,0.00515666135890089,0.0700129241988491,0.0364804183983477,"Pcbd1/Park7",2,"Up","Control - Stress"
"GO:0009060","GO:0009060","aerobic respiration",0.125,0.00688462203770974,0.0100502512562814,18.1564070351759,5.71530287777493,0.00531100409200149,0.0700129241988491,0.0364804183983477,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process",0.125,0.00723058294412731,0.00956937799043062,17.2876794258373,5.56153129472879,0.00584076321734699,0.0700129241988491,0.0364804183983477,"Pcbd1/Park7",2,"Up","Control - Stress"
"GO:0045333","GO:0045333","cellular respiration",0.125,0.00882200311364816,0.00784313725490196,14.1691176470588,4.97092448536482,0.0085744078482233,0.0700129241988491,0.0364804183983477,"Gadd45gip1/Park7",2,"Up","Control - Stress"
"GO:0006520","GO:0006520","amino acid metabolic process",0.125,0.00975609756097561,0.00709219858156028,12.8125,4.69117367511646,0.0103995344902913,0.0700129241988491,0.0364804183983477,"Pcbd1/Park7",2,"Up","Control - Stress"
