"","symbol","logFC","P.Value","adj.P.Val","description","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","Stx1a",-0.41499579798768,0,0,"syntaxin 1A (brain)","yellow",0.684496123792169,0.00122566195209992
"2","Slc9a3r2",0.275653998219092,0.0022,0.784763157894737,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2","yellow",-0.662270180208319,0.00200601502463322
"3","Syt3",-0.340013090160902,0.0038,0.858483333333333,"synaptotagmin III","yellow",0.645583635140126,0.00283191600431736
"4","Gramd1a",-0.291561669084012,0.0044,0.864376811594203,"GRAM domain containing 1A","yellow",0.633163766531434,0.00361440663171182
"5","Ntsr2",0.232461659055506,0.0086,0.927926174496644,"neurotensin receptor 2","yellow",-0.578226627904193,0.00950597563815333
"6","Abhd3",0.292948469715713,0.009,0.927926174496644,"abhydrolase domain containing 3","yellow",-0.556283780336778,0.0133817264920877
"7","Slc44a1",0.351576602959537,0.0102,0.927926174496644,"solute carrier family 44, member 1","yellow",-0.567595876868321,0.0112508227340931
"8","Dut",0.268453779097962,0.0108,0.93190625,"deoxyuridine triphosphatase","yellow",-0.55690563905538,0.0132567589800798
"9","Dazap2",0.183179903095381,0.0146,0.932128608923884,"DAZ associated protein 2","yellow",-0.558241362504827,0.0129914975638358
"10","Sdc4",0.194842118361475,0.0146,0.932128608923884,"syndecan 4","yellow",-0.576367939351485,0.00979412012834786
"11","Aldoc",0.127678494712043,0.0158,0.932128608923884,"aldolase C, fructose-bisphosphate","yellow",-0.567542796744229,0.0112601399841757
"12","Cdc42ep2",0.545680921583066,0.0174,0.932128608923884,"CDC42 effector protein (Rho GTPase binding) 2","yellow",-0.548589003698085,0.0150076526309796
"13","Pnma8a",-0.379802078450698,0.0218,0.932128608923884,"PNMA family member 8A","yellow",0.523958854533745,0.0212984449510735
"14","Gjb6",0.363085555190577,0.023,0.932128608923884,"gap junction protein, beta 6","yellow",-0.538259076366691,0.0174345354138401
"15","Hdac4",-0.398700819825509,0.024,0.932128608923884,"histone deacetylase 4","yellow",0.48941714641832,0.0334387649530762
"16","Tmbim1",0.386965189949788,0.0244,0.932128608923884,"transmembrane BAX inhibitor motif containing 1","yellow",-0.549008096860549,0.0149152183548024
"17","Dbn1",-0.244487812875938,0.025,0.932128608923884,"drebrin 1","yellow",0.510377161942218,0.0255663450232511
"18","Apod",0.354648618209964,0.0252,0.932128608923884,"apolipoprotein D","yellow",-0.537806644576985,0.0175475566875965
"19","Mal",0.31425813526517,0.0304,0.942688636363636,"myelin and lymphocyte protein, T cell differentiation protein","yellow",-0.492368696438992,0.0322288403481855
"20","Pebp1",0.208124190904176,0.032,0.94370253164557,"phosphatidylethanolamine binding protein 1","yellow",-0.495729556384387,0.0308928783609915
"21","Qdpr",0.195446712410639,0.0326,0.94370253164557,"quinoid dihydropteridine reductase","yellow",-0.510276952437779,0.0256001529673012
"22","Tmeff2",0.193119022153334,0.0326,0.94370253164557,"transmembrane protein with EGF-like and two follistatin-like domains 2","yellow",-0.477445017031967,0.0387119223551706
"23","Grifin",0.611660467974091,0.0356,0.955352398523985,"galectin-related inter-fiber protein","yellow",-0.508620595175938,0.0261640628216098
"24","Pdyn",-1.04756314975289,0.038,0.955352398523985,"prodynorphin","yellow",0.44459973320007,0.0564903298118128
"25","Cldn11",0.298145881561037,0.0404,0.957803379416283,"claudin 11","yellow",-0.475509523646233,0.0396214045750797
"26","Gca",0.463828204898903,0.0424,0.957803379416283,"grancalcin","yellow",-0.445801893042048,0.0557469257930204
"27","Golga7",0.264769651135266,0.0432,0.957803379416283,"golgi autoantigen, golgin subfamily a, 7","yellow",-0.489835368274277,0.0332652125067231
"28","Golga7",0.264769651135266,0.0432,0.957803379416283,"golgi autoantigen, golgin subfamily a, 7","yellow",-0.489835368274277,0.0332652125067231
"29","Pon2",0.201529453975954,0.0508,0.962820334261838,"paraoxonase 2","yellow",-0.448567870600649,0.0540645792465422
"30","Plp1",0.280167046399926,0.0516,0.96714738292011,"proteolipid protein (myelin) 1","yellow",-0.451702873396275,0.0522045935100561
"31","Gria1",-0.251087413026681,0.0538,0.969990825688073,"glutamate receptor, ionotropic, AMPA1 (alpha 1)","yellow",0.447612030209407,0.0546415401713248
"32","Fam162a",0.263990547925379,0.054,0.969990825688073,"family with sequence similarity 162, member A","yellow",-0.462301438611425,0.0462745274350598
"33","Mog",0.268876248730232,0.054,0.969990825688073,"myelin oligodendrocyte glycoprotein","yellow",-0.448859771837298,0.053889306126732
"34","Epha4",-0.434932069542401,0.0554,0.973990920881971,"Eph receptor A4","yellow",0.458876181321394,0.0481316656113356
"35","Dact3",0.136686219888029,0.058,0.985818181818182,"dishevelled-binding antagonist of beta-catenin 3","yellow",-0.480133379714915,0.0374754789590714
"36","Prdx6",0.201427367200913,0.0596,0.98611800486618,"peroxiredoxin 6","yellow",-0.449524891188237,0.0534915412117071
"37","Klhl1",0.521785257941684,0.06,0.987014563106796,"kelch-like 1","yellow",-0.449113316946844,0.0537374137522586
"38","Tmco3",0.227935884234838,0.0612,0.994163544668588,"transmembrane and coiled-coil domains 3","yellow",-0.424920887401042,0.0697530959616495
"39","Csrp1",0.24459805586943,0.0622,0.994163544668588,"cysteine and glycine-rich protein 1","yellow",-0.449166988211804,0.0537053023222631
"40","Dgki",-0.432739171433633,0.0638,0.994163544668588,"diacylglycerol kinase, iota","yellow",0.398185491527325,0.0913199508448563
"41","Bcas1",0.224851112013469,0.0642,0.994163544668588,"brain enriched myelin associated protein 1","yellow",-0.433778940343189,0.0635231578823384
"42","Syt1",-0.223362704220907,0.0644,0.994163544668588,"synaptotagmin I","yellow",0.41905943788841,0.0741187147367436
"43","Ermn",0.309311457034029,0.0658,0.994163544668588,"ermin, ERM-like protein","yellow",-0.414977461926275,0.0772765453021132
"44","Gjc2",0.410537204992695,0.0672,0.994163544668588,"gap junction protein, gamma 2","yellow",-0.456338210346276,0.0495439811331502
"45","Lingo2",-0.35004835740413,0.0672,0.994163544668588,"leucine rich repeat and Ig domain containing 2","yellow",0.42286555467781,0.0712615055541562
"46","Ptma",0.202333458323324,0.0724,0.994163544668588,"prothymosin alpha","yellow",-0.428587121443555,0.067121700522317
"47","Slc8a1",-0.33888619564745,0.0726,0.994163544668588,"solute carrier family 8 (sodium/calcium exchanger), member 1","yellow",0.417476744527357,0.0753315138510542
"48","Hcrt",-1.88589606247697,0.0732,0.994163544668588,"hypocretin","yellow",0.408665307780101,0.0823540233428531
"49","Calu",0.25174422836594,0.0796,0.994163544668588,"calumenin","yellow",-0.421665514409669,0.0721533629383347
"50","Gjb1",0.322235052165069,0.0818,0.994163544668588,"gap junction protein, beta 1","yellow",-0.391890565384281,0.0970366580695609
"51","Nr2f2",-0.477385842432398,0.0818,0.994163544668588,"nuclear receptor subfamily 2, group F, member 2","yellow",0.426272109163987,0.0687744806336194
"52","S100b",0.215153583014938,0.0946,0.994163544668588,"S100 protein, beta polypeptide, neural","yellow",-0.397606180042285,0.0918355261610026
"53","Epha7",-0.309828251649965,0.0954,0.994163544668588,"Eph receptor A7","yellow",0.38071948949536,0.107814025848047
"54","Tex261",0.387040883901319,0.0954,0.994163544668588,"testis expressed gene 261","yellow",-0.362382000424117,0.127328265318287
"55","Fa2h",0.270258916863192,0.1004,0.994163544668588,"fatty acid 2-hydroxylase","yellow",-0.399367073225367,0.090274921097615
"56","Maged1",-0.13635104944037,0.103,0.996268551236749,"MAGE family member D1","yellow",0.363587264510147,0.125974103140096
"57","Ranbp2",-0.24487560153088,0.104,0.996268551236749,"RAN binding protein 2","yellow",0.410007871826256,0.0812540594266013
"58","Gatm",0.205634220582645,0.105,0.99665465648855,"glycine amidinotransferase (L-arginine:glycine amidinotransferase)","yellow",-0.392583479417699,0.0963949807046256
"59","Aldh6a1",0.259481832711667,0.1052,0.99665465648855,"aldehyde dehydrogenase family 6, subfamily A1","yellow",-0.396991056819871,0.0923852941258549
"60","Pcdh17",-0.288864824025011,0.1082,0.99665465648855,"protocadherin 17","yellow",0.381960387771488,0.106576189735345
