"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mc3r",10.1701693671974,1.77584594286957,0.349212826685211,5.08528269057644,3.67078909291563e-07,0.00427610221433742
"Rgs16",16.4433026216415,1.74843353679905,0.451069315735686,3.87619701851673,0.000106101782876624,0.385260956793406
"Cryab",679.954187909718,-0.480317362591268,0.124551180004448,-3.85638548405656,0.000115075969627042,0.385260956793406
"Anln",47.3105483049105,-0.614517385150194,0.162456027223052,-3.78266904376815,0.000155155652624807,0.385260956793406
"Pelo",40.2037587481377,0.609671352762203,0.164807518567961,3.69929332144392,0.000216200618697706,0.385260956793406
"Cldn10",183.425281868148,-0.310715020710302,0.0849175630411146,-3.65901951943514,0.000253182057710017,0.385260956793406
"Heatr5b",35.121609566259,0.634222724306113,0.173514916613102,3.65514813761104,0.000257033516924417,0.385260956793406
"Nfe2l2",55.1267616200219,-0.504190176509963,0.138220703635617,-3.64771820174732,0.000264579590895978,0.385260956793406
"Tmem132e",18.8374720361279,0.965168710531936,0.270621327572511,3.56649167007477,0.000361792304451403,0.468279839394933
"Dnttip1",53.5065638612492,-0.501895906766215,0.142864222061593,-3.51309725782732,0.000442915318347038,0.494687862083485
"Vwc2",42.591596681275,0.516260714109463,0.148624793238628,3.47358406938585,0.000513556451084653,0.494687862083485
"LOC101841486",74.799283040404,-0.409840105107762,0.118626142976776,-3.45488856691563,0.000550520303770943,0.494687862083485
"LOC101827292",4.92009250006136,-2.51781887499651,0.73308892294942,-3.43453406016098,0.000593573472139647,0.494687862083485
"Fos",28.6193703142784,-0.885878425407246,0.257965269138842,-3.43409959164095,0.000594525716299149,0.494687862083485
"Grik3",31.6631180405609,0.646169508586868,0.190446924752385,3.39291122409566,0.000691540462843396,0.537050323444181
"Npvf",20.5695526325066,2.09296845399479,0.62083175316971,3.37123293599105,0.000748325550130207,0.544827770841674
"Maff",5.85202113799715,-1.38813477822905,0.414271648141185,-3.35078392271724,0.000805831539979449,0.552184212307094
"Supt16h",103.430224578278,0.403519804503175,0.124027733427401,3.25346431279721,0.00114007044469816,0.670505013402017
"Brinp2",20.6993440094076,0.700341132562408,0.215445086228615,3.25067117947288,0.00115132934267632,0.670505013402017
"Ptgds",518.1712720793,-0.698385241349074,0.216434911239696,-3.22676798003086,0.00125196935132837,0.670505013402017
"Slc9a3r2",181.410440592828,-0.278070416244646,0.0862471121847471,-3.22411277549793,0.00126363624887109,0.670505013402017
"LOC121143979",5.79563706514321,1.66388439697237,0.516171612946573,3.2235100792817,0.00126629842002269,0.670505013402017
"Rnf125",11.011573398689,-0.937653676505358,0.294679204991211,-3.18194721793593,0.00146288476020466,0.698161724440766
"Utp14a",10.7591856396315,0.963292921619079,0.30310236430851,3.1781108795265,0.00148238049106812,0.698161724440766
"Strip2",30.7501838123829,-0.525344079716649,0.165994280832312,-3.16483240918013,0.0015517230073746,0.698161724440766
"Shroom4",13.9206199952477,-0.907159105612371,0.286748226022452,-3.16360843167463,0.00155826292690016,0.698161724440766
"Galnt1",56.1226269763594,-0.392156137305922,0.125124615069229,-3.13412462519025,0.00172367632499116,0.743670574437852
"Znf592",21.8963339225657,-0.590559766492949,0.190198351767045,-3.10496784544309,0.00190299710860956,0.757811403341564
"Vps26b",102.280679774034,0.337622376093416,0.109553372590757,3.0818072333987,0.00205748029760949,0.757811403341564
"Apod",581.045290667242,-0.379240087052224,0.123155549858696,-3.07935848191455,0.00207446900704355,0.757811403341564
"LOC121135574",7.38317451057975,-1.11717837681043,0.363477076721635,-3.07358688720282,0.00211502088160104,0.757811403341564
"Fkbp15",13.5120034632203,-0.803871572210972,0.262151715228373,-3.06643643933698,0.00216626859813324,0.757811403341564
"Stx1a",47.6624801149723,0.432963930957801,0.141504350932588,3.05972168420505,0.00221542761904848,0.757811403341564
"Pdlim2",47.8284957842054,-0.505184102391459,0.165829821144303,-3.04640081564012,0.00231598875101797,0.757811403341564
"Tmc7",23.0025836983757,-0.64112161754132,0.210655890486972,-3.04345449851529,0.00233878806980822,0.757811403341564
"LOC106022140",8.12134595670498,1.15506412861907,0.380196206334564,3.03807378762386,0.00238095646825538,0.757811403341564
"Rnh1",75.2007265135482,0.409367791402366,0.13489139977078,3.03479533979188,0.00240698960628705,0.757811403341564
"Akap13",24.8615414412743,0.825156593679893,0.273357203805213,3.01860196912124,0.00253943926753856,0.77847179019886
"Ube2e1",123.95927623967,-0.275049191171256,0.0925130493567404,-2.97308534399981,0.00294822462974912,0.878103872654697
"Slc25a5",6.74971525218516,-1.13337266146922,0.382912323832338,-2.95987512265466,0.00307763765396865,0.878103872654697
"Nalcn",9.24539461305924,1.11624510053687,0.37729067417291,2.95858121323535,0.0030905879284782,0.878103872654697
