"","symbol","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","Aaas","grey",0.440563932268755,0.076733539588504
"2","Aacs","grey",-0.239235010811704,0.355076788593864
"3","Aagab","grey",0.25224664755397,0.328699130824751
"4","Aak1","grey",0.641919309132369,0.00546836804456278
"5","Aamdc","red",-0.0863461221343454,0.741768154934327
"6","Aar2","grey",-0.115462357825024,0.659008235486216
"7","Aard","red",-0.244734955514773,0.343784792439432
"8","Aars1","grey",0.0532650035772276,0.839109888004545
"9","Aasdhppt","grey",0.102062356178441,0.696698438995509
"10","Aatf","grey",0.118532201560569,0.650478036385478
"11","Aatk","grey",0.04199944141063,0.872843627930903
"12","Abat","lightyellow",-0.0524864567404779,0.841433341108189
"13","Abca1","grey",0.0323859006215771,0.901797529350564
"14","Abca2","magenta",0.227107741635912,0.380703550569971
"15","Abca7","grey",-0.31563133246201,0.217163494367873
"16","Abca9","red",-0.118200950455543,0.651396537237095
"17","Abcb1","turquoise",0.075022419425154,0.774750076694695
"18","Abcb10","grey",0.612560638912099,0.0089458172094085
"19","Abcb6","grey",-0.278845269551547,0.278446497619911
"20","Abcb7","grey",0.0315865476104825,0.904210775352278
"21","Abcb8","tan",-0.206826826517356,0.425751625780615
"22","Abcb9","grey",-0.23689062714459,0.35995300551867
"23","Abcc4","grey",0.2813566009314,0.273958944920896
"24","Abcc5","darkorange",-0.018343262395537,0.944292610379038
"25","Abcc8","yellow",0.101543833432006,0.698171129761731
"26","Abcd2","grey",0.37462484253386,0.138461046505045
"27","Abcd3","skyblue",0.365851315294468,0.148688405153981
"28","Abce1","grey",0.266431171419463,0.301282692311355
"29","Abcf1","grey",-0.386563063069081,0.125339187367937
"30","Abcf3","grey",0.190532390787011,0.463864087902426
"31","Abcg1","grey",-0.125356629517468,0.631662502721885
"32","Abcg4","grey",-0.200847631077357,0.439542556432865
"33","Abhd10","grey",-0.00127533739549156,0.996124066234912
"34","Abhd11","royalblue",-0.134508447816117,0.606763652496936
"35","Abhd12","brown",0.091954880714946,0.725584108957036
"36","Abhd13","grey",0.0943945745105164,0.718578068912321
"37","Abhd14a","grey",0.0313949643763132,0.904789283517679
"38","Abhd16a","grey",0.0165145890444979,0.949839256967594
"39","Abhd17a","grey",0.255994018569755,0.321319570631779
"40","Abhd17b","grey",0.298379198568731,0.244715552548229
"41","Abhd17c","grey",0.329924231259169,0.195916100711383
"42","Abhd2","grey",0.141888927991294,0.586976142789631
"43","Abhd3","grey",-0.0296680601829145,0.910005884993812
"44","Abhd4","lightcyan",0.337364594823544,0.185415791602714
"45","Abhd5","grey",-0.182745077823735,0.482659183714205
"46","Abhd6","grey",-0.347986223700611,0.171082735885013
"47","Abhd8","grey",0.0532197960379899,0.839244768770066
"48","Abi1","grey",0.266881759862975,0.300434852414205
"49","Abi2","grey",0.424220361515952,0.0896735619745706
"50","Abl1","grey",-0.240986882508408,0.351457488702707
"51","Abl2","saddlebrown",0.106434143103804,0.684322981114763
"52","Ablim1","blue",0.144535684068913,0.57994596792352
"53","Ablim2","salmon",-0.15475294027184,0.553145953353424
"54","Ablim3","brown",-0.368974019679229,0.144990837404188
"55","Abr","darkturquoise",-0.122667032881173,0.639053240692857
"56","Abt1","grey",-0.0121424772846081,0.963108920998753
"57","Abtb1","grey",0.504752037746496,0.0387883781835326
"58","Acaa2","grey",-0.169346622267263,0.515841501631687
"59","Acaca","grey",-0.0503084699154552,0.847939726552161
"60","Acad10","grey",-0.111080138117577,0.671254104260721
"61","Acad11","grey",0.0182645671013177,0.944531257179614
"62","Acad8","grey",0.327406819525348,0.199555356629872
"63","Acad9","grey",0.0269631849521842,0.918183639413273
"64","Acadl","grey",0.376431538927437,0.136416844328359
"65","Acadm","grey",0.326387678266046,0.201041150419873
"66","Acads","grey",-0.0193269153413439,0.941310025464952
"67","Acadsb","grey",-0.27965535188338,0.276994078695802
"68","Acadvl","grey",0.0180924876810572,0.945053110798169
"69","Acap2","grey",-0.266731066508586,0.300718242598193
"70","Acap3","grey",0.135791396751673,0.60330487056529
"71","Acat1","brown",0.289859574984792,0.259095601128407
"72","Acbd3","grey",-0.440724367805361,0.0766136875994292
"73","Acbd5","grey",0.314537119101191,0.21884886201785
"74","Acbd6","grey",0.298632926505508,0.244295152800903
"75","Acd","grey",-0.300265912457229,0.241600343807996
"76","Acer2","grey",0.0367146272879448,0.888743733771648
"77","Acer3","black",-0.325150632688667,0.202854310026506
"78","Ache","grey",-0.308208646278024,0.228761075969173
"79","Acin1","turquoise",-0.150969852431707,0.563005384810999
"80","Ackr1","yellow",-0.0946767343948757,0.717769147613513
"81","Acly","grey",-0.194506287687625,0.454415839614911
"82","Aco1","grey",-0.0396284864627312,0.879971641384251
"83","Aco2","brown",0.089231768781541,0.733428387402216
"84","Acot11","grey",0.0917914057525495,0.726054301346757
"85","Acot13","grey",0.378029492672477,0.134626286669562
"86","Acot7","grey",-0.167062571383693,0.5216017070792
"87","Acot8","grey",0.0577267704511317,0.825819192383734
"88","Acot9","yellow",-0.310348251635767,0.225378369431824
"89","Acox1","grey",-0.26857771285388,0.29725648589843
"90","Acox3","grey",0.160018706629391,0.53955016079491
"91","Acp1","yellow",-0.159339047644531,0.541296519458428
"92","Acp2","grey",0.231435831012671,0.371443426521688
"93","Acsbg1","lightcyan",0.563663064659026,0.0184507926412294
"94","Acsf2","grey",0.170310852759673,0.513418697128371
"95","Acsf3","grey",0.498004994745606,0.0419115975308132
"96","Acsl1","brown",0.261960941640316,0.309771159481208
"97","Acsl3","grey",0.136839515314289,0.60048509600337
"98","Acsl4","grey",-0.148360791164519,0.56984898186793
"99","Acsl6","grey",0.304583185449939,0.234566426381501
"100","Acsm5","grey",-0.103737681836937,0.691947254661945
"101","Acss1","lightyellow",0.456156603026161,0.0657115825588119
"102","Acss2","grey",-0.118773463168821,0.649809359673543
"103","Actb","grey",0.255297803447031,0.322683212041335
"104","Actg1","grey",0.172999489831124,0.506691174577825
"105","Actl6b","grey",-0.116975140408689,0.654799608205777
"106","Actn1","grey",0.484191789040641,0.0488956209162952
"107","Actn4","grey",0.506635785787494,0.0379488390114323
"108","Actr10","blue",0.0457089902718927,0.861710005977681
