"symbol","sources_up","sources_down","description"
"Tchh","LH, ARC","DMH","trichohyalin"
"Abhd14a","LH","ARC","abhydrolase domain containing 14A"
"Btg1","LH","DMH","BTG anti-proliferation factor 1"
"Cckar","LH","DMH","cholecystokinin A receptor"
"Efl1","LH","DMH","elongation factor like GTPase 1"
"Gjc1","LH","ARC","gap junction protein, gamma 1"
"Gpr50","LH","DMH","G-protein-coupled receptor 50"
"Gtf2h3","LH","ARC","general transcription factor IIH, polypeptide 3"
"Hdac4","LH","DMH","histone deacetylase 4"
"Htr1b","LH","DMH","5-hydroxytryptamine (serotonin) receptor 1B"
"Ift88","LH","DMH","intraflagellar transport 88"
"Irs4","LH","DMH","insulin receptor substrate 4"
"Med24","LH","ARC","mediator complex subunit 24"
"Mustn1","LH","ARC","musculoskeletal, embryonic nuclear protein 1"
"Nol12","LH","DMH","nucleolar protein 12"
"Nsun7","LH","DMH","NOL1/NOP2/Sun domain family, member 7"
"Pdyn","LH","DMH","prodynorphin"
"Rcc1l","LH","DMH","reculator of chromosome condensation 1 like"
"Riox1","LH","ARC","ribosomal oxygenase 1"
"Slc16a11","LH","ARC","solute carrier family 16 (monocarboxylic acid transporters), member 11"
"Slc7a14","LH","DMH","solute carrier family 7 (cationic amino acid transporter, y+ system), member 14"
"Vps18","LH","ARC","VPS18 CORVET/HOPS core subunit"
"Desi1","DMH","LH","desumoylating isopeptidase 1"
"Dut","DMH","LH","deoxyuridine triphosphatase"
"Fkbp15","DMH","LH","FK506 binding protein 15"
"Gpr146","DMH","ARC","G protein-coupled receptor 146"
"Irx2","DMH","ARC","Iroquois homeobox 2"
"Mid1ip1","DMH","ARC","Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))"
"Mss51","DMH","LH","MSS51 mitochondrial translational activator"
"Mtg2","DMH","LH","mitochondrial ribosome associated GTPase 2"
"Pex7","DMH","ARC","peroxisomal biogenesis factor 7"
"Sidt1","DMH","LH","SID1 transmembrane family, member 1"
"Skida1","DMH","LH","SKI/DACH domain containing 1"
"Slc9a3r2","DMH","LH","solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2"
"Smad6","DMH","ARC","SMAD family member 6"
"Tmc7","DMH","LH","transmembrane channel-like gene family 7"
"Tph2","DMH","ARC","tryptophan hydroxylase 2"
"Bmp3","ARC","LH","bone morphogenetic protein 3"
"Fnbp4","ARC","DMH","formin binding protein 4"
"Iws1","ARC","DMH","IWS1, SUPT6 interacting protein"
"Snrpb2","ARC","DMH","U2 small nuclear ribonucleoprotein B"
"Stim2","ARC","DMH","stromal interaction molecule 2"
"Zcchc8","ARC","DMH","zinc finger, CCHC domain containing 8"
