"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0007015","actin filament organization",0.0381638163816382,0.0163026548059949,8.42746193823219e-38,5.41970077247712e-34,2.53533539152291e-34,"Eln/Arhgef15/Dnai3/Myoc/Kank4/Myo7b/F11r/Shank3/Rhobtb1/Myo1d/Ptger4/Esam/Svil/Rhou/Ssh3/Icam1/Gas2l2/Micall2/Tmeff2/Kctd13/Dmtn/Kiss1r/Tacr1/Shroom4/Lpar1/Whamm/Capn1/Elmo3/Tpm2/Arhgap17/Tgfbr1/Plec/Myo5b/Rgcc/Itgb1bp1/Ermn/Fam107a/Tmod1/Coro6/Prkcd/Cgnl1/Rhpn2/Pecam1/Cdc42ep5/Nostrin/Rhod/Elmo1/Mad2l2/Msrb1/Fscn1/Myo1f/Rhpn1/Srf/Ssh1/Myo1c/Shroom3/Sdc4/Ppm1e/Carmil1/Rhoq/Arrb1/Arhgef10/Rnd2/Ush1c/Pdlim3/Pik3r2/Pxn/Wasf3/Lats1/Arhgef18/Abitram/Mical2/Rhoc/Spire2/Rnd1/Ttc17/Magel2/Cyria/Myo1e/Mlst8/Gdpd2/Tnfaip1/Fam171a1/Nckap1/Synpo/Nf2/Limk1/Gsn/Arpc5l/Gas2l1/Mkks/Bin1/Iqgap2/Cnn3/Zyx/Abl2/Samd14/Rac3/C9orf72/Hax1/S1pr1/Eps8/Rhob/Washc4/Fermt2/Nck2/Cit/Twf1/Pak1/Myo15a/Rnh1/Cobl/Ppfia1/Arpc4/Stmn1/Baiap2/Ptk2b/Wnt4/Pfn1/Inppl1/Dlc1/Mical1/Cdc42ep4/Gmfb/Myo6/Cap2/Tmod2/Pacsin1/Was/Rasa1/Phactr1/Arf1/Cdc42/Ttc8/Tmod4/Coro2b/Cald1/Rac1/Cotl1/Cdc42ep2/Cdc42ep1/Lcp1/Arfip2/Sorbs3/Wdr1/Capza1/Wasf1/Flna/Grb2/Flii/Tle6/Inpp5k/Kank1/Brk1/Gba2/Rhog/Tagln3/Tagln2/Msrb2/Cyrib/Id1/Cfl1/Pick1/Tesk1/Capza2/Add1/Bbs4/Arhgef5/Cul3/Coro1b/Sh3kbp1/Cdc42ep3/Pik3r1/Rhot2/Cnn2/Sptan1/Spire1/Tpm1/Cx3cl1/Abl1/Rnd3/Rhov/Washc5/Itgb5/Sirpa/Alms1/Twf2/Mtss1/Arpc1a/Actr2/Zeb2/Kank3/Washc3/Arf6/Dlg1/Wasl/Tmod3/Arap1/Naa80/Pfn2/Actg1/Slit2/Ppp1r9b/Cyfip1/Nck1/Gas2/Nrp1/Rhoa/Synpo2/Plek/Prkci/Pik3ca",212,"Up","Control - Stress"
"GO:0009117","nucleotide metabolic process",0.0361836183618362,0.01720258904157,2.89039057096308e-28,1.85881017618636e-25,8.69551184401315e-26,"Slc27a3/Slc25a13/Fmo5/Far2/Ctns/Snca/Dera/Dmac2l/Adcy4/Pde5a/Acacb/Abcd1/Lrrk2/Adcy9/Hpca/Acot11/Pank1/Rnaseh2b/Gpam/Slc4a7/Dcakd/Entpd7/Dcxr/Kcnab2/Dctpp1/Idh1/Adcy1/Nos3/Fhit/Pdk2/Nudt7/Nt5m/Nme6/Pgls/Pdk1/Trem2/Rhoq/Nudt13/Nqo1/Ndufb1/Flad1/Ndufb7/Entpd1/Nnt/Pfas/Oxsm/Atpsckmt/Umps/Ndufa3/Adcy8/Pdk3/Prdx5/Mlycd/Gucy1a1/Acss1/Ak1/Mlst8/Hrh3/Guk1/Gmps/Myc/Slc52a2/Ak4/Rpia/Sdhb/Nudt2/Fis1/Ndufa11/Nppc/Nt5c2/Nudt4/Nt5c3b/Samhd1/Ndufv3/Acsm5/Far1/Aspdh/Dpys/Ndufb2/Prps1/Park7/Ndufs7/Nadk/Eno1/Dgat1/Hmgcl/Nadk2/Ndufb8/Mapk1/Pmvk/Pde4a/Ndufa7/Ndufs3/Pank2/Prps2/Mpc1/Ak3/Upp1/Map2k1/Ndufa2/Acss2/Adcy7/Impdh1/Ppargc1a/Lipa/Gucy1b1/Ldhb/Gmpr2/Nudt11/Idh3a/Atp1a2/Mthfd2l/Flcn/Gpd2/Suclg2/Ndufb4/Slc25a25/Rora/Aldoa/Nudt12/Sdhc/Ndufv1/Ndufb5/Nudt19/Taldo1/Ak5/Tigar/Dld/Acsl3/Clpx/Ndufs2/Sdha/Mdh1/Atp5pb/Nudt3/Pipox/Mmut/Ndufb3/Mcee/Ndufb9/Ndufa12/Mpc2/Mfn1/Ndufa13/Pde9a/Ndufv2/Ndufb10/Prpsap1/Naxe/Ndufs5/Hsd11b1/Parp1/Rptor/Idh3b/Noct/Pdhx/Pgd/Ndufb11/Bcl2l1/Dnm1l/Ndufab1/Mccc2/Adal/Nos1/Atp6v1b2/Hint1/Ndufa9/Ndufa1/Ndufs6/Uck2/Fasn/Gmpr/Ndufc2/Acsl6/Gpat4/Nme5/Mdh2/Pdhb/Ndufs1/Itpa/Vdac1/Sphk2/Hspa8/Atp6v1a/Bad/Uck1/Cmpk1/Slc25a12/Ndufb6/Cad/Ndufa6/Hmgcr/Sdhd/Rhoa/Mvd/Ndufa10/Mvk/Nudt9/Nme3/Ndufa8/Acot8",201,"Up","Control - Stress"
"GO:0050767","regulation of neurogenesis",0.0354635463546355,0.0170987504759268,8.19721391346695e-27,3.51441884516707e-24,1.64404472734657e-24,"Myb/Rtn4r/Gjc2/Gata2/Wnt2/Anxa2/Mme/Cxcr4/Myrf/Tert/Dusp10/Adcyap1/Sema3g/Wnt7a/Sema3f/Shank3/Cdkn2b/Drd2/Bcl11a/Olig2/Epha7/Sgk1/Lrp1/Lig4/Cdkl3/Rassf10/Prkch/Man2a1/Plxnd1/Arhgap4/Nefl/Ascl1/Myo5b/Syngap1/Mag/Akap5/Vegfa/Fezf2/Bdnf/F2/Rgs14/Ascl2/Dll4/Wnt7b/Mycn/Per2/Wls/Srf/Stk11/Notch1/Nog/Serpine2/Heyl/Trem2/Hey2/Rest/Enpp2/Fgfr3/Rheb/Hmgb2/Epha4/Gorasp1/Itpka/Rnd2/Slit1/Zcchc24/Pias2/Dpysl5/Fgf13/Ptk2/Nrg1/Kit/Rgma/Il1rapl1/Il34/Plag1/Smurf1/Smarcd3/Ntn1/Map6/Spint1/Tiam2/Ilk/Ankrd27/Appl2/Myc/Hes6/Zfyve27/Nf2/Cdkl5/Limk1/Xrcc2/Rela/Trak1/Trak2/Tmem98/Bin1/Thy1/Robo2/Dnajb11/Nkx6-2/Gper1/Sema6a/Ldlr/Cdon/Btg2/Cit/Camk2b/Sh3glb1/Pak1/Bmp7/Baiap2/Rb1/Map2k1/Robo1/Cux2/Fzd4/Etv5/Xrcc5/Ulk2/Stau2/Wnt5a/Tbc1d24/Ache/Psen1/Lingo1/Prune1/Ppp1cc/Prmt5/Bcan/Sema4d/Sema4f/Rnf6/Kifap3/Dock7/Chd7/Rtn4/Nptn/Ndel1/Ncan/Smo/Mecp2/Trim11/Trim46/Xrcc6/Tle6/Plxna3/Hey1/Mfn2/Id1/Ctnnb1/Gpr37l1/Mfn1/Anapc2/Fbxo31/Fn1/Cdk5/Ctnna1/Fmr1/Sox10/Sorl1/Slitrk1/Stk25/Ctdsp1/Bag1/Id4/Dnm1l/Bmp4/Srrt/Nos1/Sirt2/Fzd3/Reln/Cx3cl1/Trim32/Xrcc4/Twf2/Kdr/Nf1/Actr2/Mbd1/Dag1/Zeb2/Mapt/Hif1a/Slit2/Hes5/Snap91/Atxn1/Cyfip1/Gdi1/Hes1/Nrp1/Trpc5/Sema6b/Il6st/Prkci",197,"Up","Control - Stress"
"GO:0022411","cellular component disassembly",0.0347434743474347,0.0159911391090651,2.59008325793087e-29,2.37954649025049e-26,1.11315157160397e-26,"Jmjd4/Spata33/Spata18/Ddit4/Ngef/Rubcn/Svil/Wipi1/Sgk1/Gas2l2/Eng/Exog/Dmtn/Hspa2/Stmnd1/Tgfbr1/Akap5/Tmod1/Snai2/Mid1ip1/Prickle1/Apaf1/Rubcnl/Ascc2/Cib1/C1ql1/Per2/Fscn1/Dyrk3/Spef1/Trem2/Napa/Carmil1/Dedd2/Sh3gl1/Ubqln4/Epha4/Wdr45/Srebf1/Upf1/Nedd1/Lamc1/Fyco1/C1qc/Fgf13/Mical2/Nrg1/Chka/Tecpr1/Dffb/Kif9/Smurf1/Smarcd3/Lrba/Eif5a/Zmpste24/Myc/Smarcd2/Plin2/Frat1/Chmp6/Cdc37/Gsn/Cdk5rap3/Fis1/Cebpg/Gas2l1/Smarce1/Dysf/Gbf1/Tafazzin/Clec16a/Apc2/Gper1/Htt/Sh3gl2/Atg9a/Cisd2/Eps8/Atg4d/Bnip3l/Epg5/Twf1/Map1lc3a/Calcoco2/Bok/Capn10/Stmn1/Smarcd1/Napb/Ets1/Atg2a/Tomm7/Ulk2/Tom1/Mical1/Ttbk2/Hbs1l/Dffa/Tmod2/Map1s/Gabarapl2/Slc25a5/Bnip3/Arhgef1/Tmod4/Fundc2/Zfand1/Bmerb1/Map6d1/Lcp1/Arfip2/Kat5/Ndel1/Wdr1/Tigar/Retreg2/Capza1/Ambra1/Atg13/Sh3gl3/Flii/Usp30/Fkbp8/Stmn4/Mfn2/Mfsd8/Cfl1/Mrpl58/Nsf/Stmn3/Capza2/Add1/Mcts1/Cdk5/Snx14/Vmp1/Stx17/Katnb1/Nckap5l/Pik3r1/Shfl/Wdr47/Endog/Chmp7/Dnajc6/Becn1/Dnm1l/Sptan1/Tpm1/Smcr8/Flot1/Tpx2/C3/Tmem39a/Adrb2/Ddrgk1/Twf2/Spast/Pnpla2/Asph/Klc1/Vdac1/Fbxo7/Arf6/Hspa8/Tmod3/Mcoln1/Phf23/Sqstm1/Wipi2/Eif5a2/Hif1a/Igf1r/Phb2/Trip4/Aifm1/Akap8l/Nod2/Gak/Rnf41/Adamts5/Pink1/Rhoa/Calm1/Vps16/Lamp2/Gspt1/Tfip11/Plek/Pdpn/Grwd1/Pik3ca",193,"Up","Control - Stress"
"GO:0031346","positive regulation of cell projection organization",0.0345634563456346,0.0160257519642795,1.11060301378906e-28,8.92785997709684e-26,4.17645185974888e-26,"Anln/P2ry2/Pcp4/Adcyap1/Hspb1/S100a9/Bcl11a/Sgk1/Lrp1/Epha3/Cdkl3/Eps8l3/Plxnd1/Crocc/Nefl/Htr7/Tgfbr1/Serpini1/Adam17/Myo5b/Akap5/Vegfa/Bdnf/Agt/Cdc42ep5/Fscn1/Gprc5b/Wls/Scn1b/Srf/Kat2b/Stk11/Zmynd10/Serpine2/Atf1/Enpp2/Carmil1/Rhoq/Epha4/Itpka/Rnd2/Ehd1/Plk5/Atp1b2/Pias2/Rreb1/Dynll1/Ccp110/Rit2/Wrap73/P2ry12/Nrg1/Kit/Fig4/Ppp1r35/Rgma/Il1rapl1/Hnrnpk/Smurf1/Ntn1/Map6/Palm/Tiam2/Ilk/Ankrd27/Magi2/Ikbkb/Pqbp1/Zfyve27/Nckap1/Cdkl5/Mob2/Limk1/Ap2a1/Crtc1/Ift88/Fyn/Trak1/Ngfr/Robo2/Fez1/Dvl3/Prkd1/Abl2/Htt/Shoc2/Eps8/Enc1/Camk2b/Twf1/Gpm6a/Sh3glb1/Kctd17/Nrxn1/Pak1/Cobl/Bmp7/Baiap2/Ptk2b/Map2k1/Robo1/Cux2/Pfn1/Fzd4/Fut9/Cdc42ep4/Hsp90aa1/Stau2/Wnt5a/Tbc1d24/Ache/Ttbk2/Pacsin1/Atmin/Def8/Snx3/Grn/Cdc42/Sema4d/Rac1/Cdc42ep2/Apbb1/Cdc42ep1/Nptn/Ndel1/Lcn2/Flna/Plxna3/Brk1/Ccl19/Mfn2/Cfl1/Mfn1/Anapc2/Fbxo31/Ptpn5/Nfe2l2/Fn1/Bbs4/Coro1b/Fmr1/Fgfr1/Slitrk1/Fuz/Katnb1/Rap1a/Stk25/Cdc42ep3/Pik3r1/Auts2/Dcc/Dnm1l/Fam98a/Bmp4/Reln/Cx3cl1/Abl1/Washc5/Tmem106b/Mns1/Vldlr/Cntn1/Entr1/Twf2/Cep135/Nf1/Actr2/Ndrg4/Acsl6/Zeb2/Grin1/Mien1/Fnbp1l/Wasl/Mapt/Arap1/Dnm2/Igf1r/Akirin1/Snap91/Ube2v2/Cyfip1/Nck1/Ppp2r5d/Gdi1/Hras/Ptbp1/Nrp1/Sirt1/Trpc5/Prkci/Dzip1",192,"Up","Control - Stress"
"GO:0006091","generation of precursor metabolites and energy",0.0345634563456346,0.0167526219237825,7.80333902185392e-26,2.64122490787066e-23,1.23556470495615e-23,"Htr2a/C1qtnf2/Slc25a13/Eno3/Snca/Ddit4/Phka1/Ndor1/Abcd1/Git1/Pygm/Plec/Bdnf/Slc25a23/Bid/Rubcnl/Ppp1r1a/Per2/Prxl2c/Idh1/Kat2b/Adra1b/Slc25a33/Pgls/Polg2/S100b/Ier3/Iscu/Sdhaf4/Adgrf5/Ndufb1/Sirt3/Ndufb7/Irs1/Nnt/Atpsckmt/Ndufa3/Shmt2/Galt/Fdx2/Mlst8/Myc/Il10rb/Foxk1/Ak4/Rpia/Sdhb/Aass/Ndufa11/Gapdh/Mrap2/Tafazzin/Ndufv3/Nipsnap2/Ogdhl/Ndufb2/Prps1/Pgk1/Park7/Ndufs7/Eno1/Hmgcll1/Dgat1/Eif6/Bpgm/Hmgcl/Aldoc/Ndufb8/Lepr/Bloc1s1/Coq10b/Ndufa7/Mtfr1l/Ndufs3/Khk/Pank2/Prps2/Chchd4/Cavin3/Ndufa2/Gadd45gip1/Ndufaf1/Trap1/Tmem135/Ppargc1a/Lipa/Mtln/Gnpda1/Mtfr1/Bnip3/Psen1/Cisd1/Idh3a/Mtch2/Flcn/Ppp2ca/Suclg2/Ndufb4/Cat/Ppp1cc/Slc25a25/Aldoa/Mrps36/Galk1/Oxct1/Prkaca/Sdhc/Ndufv1/Ndufb5/Akt2/Phkg1/Taldo1/Ugp2/Afg1l/Tigar/Nop53/Sdhaf2/Dld/Oxa1l/Nr4a3/Ndufa4/Slc1a3/Etfb/Ndufs2/Sdha/Mdh1/Inpp5k/Atp5pb/Mfn2/Etfa/Pygb/Ide/Slc37a4/Ndufb3/Ndufb9/Ndufa12/Pygl/Pkm/Ndufa13/Pnpt1/Mlx/Ndufv2/Ndufb10/Mpi/Jmjd8/Pfkm/Dyrk2/Ndufs5/Ppp1r3g/Etfdh/Hsd11b1/Akt1/Chchd2/Rptor/Idh3b/Pgd/Ndufb11/Ndufab1/Trex1/Sod2/Ndufa9/Arl2/Chchd10/Ndufa1/Hmgb1/Ndufs6/Tkfc/Pgm2/Ndufc2/Slc4a4/Mdh2/Pdhb/Ndufs1/Aco2/Sphk2/Dnajc15/Irs2/Slc25a12/Coq9/Hif1a/Phb2/Eno2/Ndufb6/Ndufa6/Sdhd/Pink1/Rhoa/Ndufa10/Pfkl/Il6st/Ndufa8/Pik3ca",192,"Up","Control - Stress"
"GO:0042391","regulation of membrane potential",0.0345634563456346,0.0169949119102835,6.05019751820424e-25,1.84630844082809e-22,8.63702874053585e-23,"Cck/Ano1/Myoc/Casq2/Slc1a6/Adcyap1/Kcnq2/Grk2/Wnt7a/P2rx2/Shank3/Ctns/Snca/Trdn/Piezo2/Grik1/Kcnh5/Chrna1/Chrna4/Abcd1/Kcnh3/Kcnn2/Tacr1/Kcnj10/Fxyd1/Kcnk1/Cacna2d1/Snta1/Kcnk4/Kcnj8/Grin2d/Lrrk2/Adora1/Kcnh7/Bdnf/Agt/Chrm5/Bid/Atp1a3/Kcnab2/Grin2a/Cacna1h/Scn1b/Asic1/Ssh1/Pkp2/Slc25a33/Hcn2/Trem2/Grin3a/Gna11/Sh3gl1/Dmpk/Gabra1/Igsf11/Glrb/Slc24a4/Cav1/Atp1b2/Pip5kl1/Tspan4/Nnt/Dynll1/Ntsr2/Pex5l/Fgf13/Kcna1/Pmaip1/Zmpste24/Myc/Chrna7/Kcnk9/Kcna2/Sod1/Kcnj11/Crtc1/Ngfr/Tmem108/Bin1/Gabrb2/Smad7/Got1/Park7/Insyn2a/Prkcz/Begain/Stx1a/Gabra3/Cacnb3/Bnip3l/Kcnj9/Chrm1/Ryr2/Tmem25/Cnih2/Nrxn1/Bok/Pank2/Kcnma1/Baiap2/Rims4/Ptk2b/Cux2/Kcnmb4/Scn3b/Tbc1d24/Tmem135/Stx1b/Grip2/Lipa/Insyn1/Mtln/Bnip3/Psen1/Mtch2/Kcne4/Calm3/Sez6/Tspan9/Trpm4/Akt2/Prdx3/Wdr1/Cntnap2/Dld/Adora2a/Mecp2/Flna/Chrna6/Akap6/Mfn2/Tusc2/Plk2/Mfn1/Npy2r/Fgf12/Cdk5/Kcna5/Slc29a1/Rbfox2/Fmr1/Gabrb3/Akt1/Kcna4/Parp1/Jun/Rims3/Bcl2l1/Kctd7/Nedd4l/Gabrg1/Nos1/Reln/Sod2/Cx3cl1/Mllt11/Chchd10/Atp1b3/Dsg2/Nlgn2/Adrb2/Gabra4/Cacna1i/Kdr/Rab3gap1/Kcnk13/Nup155/Ndufc2/Slc4a4/Gabra2/Popdc3/Grin1/Kcnc2/Ndufs1/Dlg1/Mapt/Glrx/Bad/Ckap5/Fhl1/Nlgn3/Igsf9b/Atxn1/Bak1/Ppp2r3c/Gabra5/Cntnap1/Nrcam/Kcnh4/Pink1/Calm1/Trpc5",192,"Up","Control - Stress"
"GO:0072521","purine-containing compound metabolic process",0.0343834383438344,0.0165795576477104,4.99323080085377e-26,1.88890984001709e-23,8.83631803643348e-24,"Slc27a3/Slc25a13/Fmo5/Far2/Ctns/Snca/Nudt1/Dmac2l/Adcy4/Pde5a/Acacb/Abcd1/Lrrk2/Adcy9/Hpca/Acot11/Pank1/Gpam/Slc4a7/Dcakd/Entpd7/Dcxr/Kcnab2/Idh1/Adcy1/Nos3/Fhit/Pdk2/Nudt7/Macrod1/Nme6/Pgls/Pdk1/Trem2/Carmil1/Rhoq/Nudt13/Nqo1/Ndufb1/Ndufb7/Entpd1/Nnt/Pfas/Oxsm/Atpsckmt/Ndufa3/Pemt/Adcy8/Pdk3/Prdx5/Mlycd/Shmt2/Gucy1a1/Acss1/Ak1/Mlst8/Hrh3/Guk1/Gmps/Myc/Ak4/Rpia/Sdhb/Nudt2/Fis1/Ndufa11/Nppc/Nt5c2/Nudt4/Samhd1/Ndufv3/Acsm5/Far1/Aspdh/Ndufb2/Prps1/Ndufs7/Nadk/Eno1/Dgat1/Hmgcl/Nadk2/Ndufb8/Pmvk/Pde4a/Ndufa7/Ndufs3/Pank2/Prps2/Mpc1/Ak3/Map2k1/Ndufa2/Acss2/Adcy7/Impdh1/Ppargc1a/Lipa/Gucy1b1/Ldhb/Gmpr2/Nudt11/Idh3a/Atp1a2/Mthfd2l/Flcn/Gpd2/Suclg2/Ndufb4/Slc25a25/Pcmt1/Rora/Aldoa/Nudt12/Sdhc/Ndufv1/Ndufb5/Nudt19/Taldo1/Ak5/Tigar/Dld/Acsl3/Clpx/Ndufs2/Sdha/Mdh1/Atp5pb/Nudt3/Pipox/Mmut/Ndufb3/Mcee/Ndufb9/Ndufa12/Mpc2/Mfn1/Ndufa13/Pde9a/Ndufv2/Ndufb10/Prpsap1/Ndufs5/Hsd11b1/Parp1/Rptor/Idh3b/Noct/Pdhx/Pgd/Ndufb11/Bcl2l1/Dnm1l/Ndufab1/Mccc2/Adal/Nos1/Atp6v1b2/Hint1/Ndufa9/Ndufa1/Ndufs6/Pgm2/Fasn/Gmpr/Ndufc2/Acsl6/Gpat4/Nme5/Mdh2/Pdhb/Ndufs1/Itpa/Vdac1/Sphk2/Hspa8/Atp6v1a/Bad/Slc25a12/Ndufb6/Ndufa6/Hmgcr/Sdhd/Rhoa/Mvd/Ndufa10/Mvk/Nudt9/Nme3/Ndufa8/Acot8",191,"Up","Control - Stress"
"GO:0007264","small GTPase mediated signal transduction",0.0338433843384338,0.0148143020317746,6.04370449339203e-32,9.71676589925103e-29,4.54550195845116e-29,"Rtn4r/Spry1/Lpar6/Myoc/Rapgefl1/Tax1bp3/Rasgrp2/F11r/Rhobtb1/Spry4/Sipa1/Rhou/Kctd13/Eps8l3/Lpar1/Dok5/Git1/Plcd4/Arhgap17/Syngap1/F2r/Dgkz/Arhgap19/Cgnl1/Gpsm2/Prag1/Rasgrp3/Ccdc88c/Pecam1/Cdc42ep5/Rhod/Elmo1/Arhgef11/Tns3/Amot/Cyth4/Notch1/Adra1b/Ksr1/Cyth3/Hmox1/Dock1/Arhgap42/Rheb/Arfgap1/Rhoq/Vav2/Arrb1/Sh2d3c/Arhgef3/Srgap1/Stard8/Rnd2/Arhgdib/Dock10/Cyth2/Arhgap24/Dok1/Arhgef18/Rit2/Rhoc/Rnd1/Nrg1/Garnl3/Ntn1/Tiam2/Chml/Tnfaip1/Rab4b/Rras2/Ophn1/Chm/Lpar2/Nckap1/Adgrg1/Ngfr/Chn1/Cdc42se1/Fbxo8/Rtkn/Kndc1/Itgav/Rfxank/Farp2/Dennd1a/Abl2/Rhebl1/Rac3/Nkiras2/Csf1/Shoc2/Eps8/Rhob/Cdon/Nras/Ednra/Ralgapa2/Dnaja3/Rit1/Stmn1/Rasgef1a/Baiap2/Ywhaq/Map2k1/Robo1/Gpr17/Arhgef7/Syde1/Cdc42se2/Dlc1/Sipa1l2/Cdc42ep4/Rab12/Sipa1l1/Lipa/Was/Gna13/Bcr/Spry2/Heg1/Flcn/Bnip2/Cdc42/Rasgef1b/Rapgef5/Rac1/Cdc42ep2/Adcyap1r1/Dock7/Cdc42ep1/Sos2/Rtn4/Rab15/Psd2/Gna12/Arhgap8/Wasf1/Rab9b/Nisch/Grb2/Kank1/Sh2b2/Brk1/Rhog/Mfn2/Pik3cb/Cyrib/Plk2/Arhgdig/Rasip1/Arhgap33/Stmn3/Cul3/Rasal1/Rap1a/Rabgef1/Cdc42ep3/Auts2/Dennd4c/Rhot2/Rap1gap2/Reln/Abl1/Rnd3/Rhov/Vangl2/Flot1/Ppp2cb/Dennd4b/Nf1/Rap1b/Arf6/Kctd10/Dnm2/Mras/Slit2/Nkiras1/Cyfip1/Gdi1/Phactr4/Hras/Stk19/Mapkap1/Nrp1/Rhoa/Rab33b/Pdpn/Als2",188,"Up","Control - Stress"
"GO:0034329","cell junction assembly",0.0333033303330333,0.0166487833581392,4.11260565001299e-23,6.96004393032462e-21,3.25590774175544e-21,"Gjc1/Arhgef15/Myoc/Crb3/Rab29/Syndig1/Adgre5/Wnt7a/F11r/Shank3/Il1rapl2/Snca/Cdh9/Esam/Epha7/Lzts1/Lrp1/Micall2/Epha3/Dmtn/Aplnr/Prkch/Nphp4/Plxnd1/Apod/Whamm/Patj/Ajuba/Mpp7/Jam3/Plec/Kcnj8/Akap5/Itgb1bp1/Fam107a/Snai2/Vegfa/Slitrk6/Bdnf/Cdh19/Agt/Pecam1/Lrtm2/Rhod/Lgi2/Cldn11/Fscn1/Rhpn1/Srf/Cdh8/Myo1c/Pkp2/Sdc4/Cldn10/Elavl2/Enpp2/Gabra1/Lrrn1/Cav1/Cldn5/Lamc1/Pxn/Gjb6/Ephb1/Rcc2/Fgf13/Frmpd2/Adgrb2/Rhoc/Ptk2/Nrg1/Ocel1/Fbxo45/Il1rapl1/Ntn1/Flrt3/Magi2/Ikbkb/Tpbg/Adgrb1/Ophn1/Vps35/Cd9/Thy1/Gabrb2/Itgav/Tns1/Ramp2/Smad7/Slitrk3/Gpm6b/Cntn5/Fermt2/Gpm6a/Nrxn1/Pdpk1/Icam5/Ace2/Ptk2b/Colq/Wnt4/Robo1/Cux2/Flrt2/Tesk2/Dlc1/Tbcd/Stau2/Wnt5a/Ache/Myo6/Zdhhc12/Sipa1l1/Thbs2/Adgrl1/Farp1/Rab13/Bcr/Flcn/Pkp4/Large1/Srcin1/Cdc42/Sema4d/Coro2b/Rac1/Ocln/Dock7/Prkaca/Nptn/Wdr1/Cntnap2/Nfasc/Capza1/Mecp2/Clstn1/Acvrl1/Lingo2/Vstm5/Poldip2/Lrfn1/Cfl1/Ctnnb1/Lrrc24/Cbln4/Fn1/Cdk5/Vmp1/Ctnna1/Gabrb3/St8sia2/Slitrk1/Pdlim5/Rap1a/Tln1/Pik3r1/Pdgfb/Nedd4l/Pard3/Reln/Abl1/Flot1/Nlgn2/Nrg3/Kdr/Mdga1/Cdh20/Gabra2/Grin1/Srgap2/Arf6/Dlg1/Mapt/Lrrc4b/Nlgn3/Actg1/Slit2/Ube2v2/Slitrk2/Cntnap1/Nrp1/Rhoa/Dusp22/Ctnnd2/Dlg5",185,"Up","Control - Stress"
