"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0447842708902239,0.0152296562943477,2.25709711006979e-67,1.44657353784373e-63,7.64799536559439e-64,"Sirt7/Gcfc2/Pwp2/Pih1d2/Isg20l2/Utp14a/Ddx31/Gar1/Nop10/Urb1/Nol6/Pdcd11/Efl1/Exosc5/Rpp38/Rps27l/Polr2d/Wdr3/Nom1/Ddx56/Trmt2b/Rpf1/Nsun4/Crnkl1/Srsf6/Mterf4/Celf6/Rpp40/Lyar/Mybbp1a/Lsg1/Pop4/Rrp9/Ddx10/Rnasel/Fastkd2/Riox1/Pak1ip1/Nol8/Rsl1d1/Shq1/Celf3/Afg2a/Lsm2/Gemin8/Rsrp1/Snrpf/Tsr1/Ddx54/Nvl/Nop9/Srsf12/Luc7l/Mtrex/Ddx17/Wdr55/Fcf1/Nsun5/Pes1/Rrp36/Dhx9/Nop58/Pop5/Exosc3/Rrp7a/Mrm3/Ago3/Rpl14/Npm1/Ythdc1/Rbm34/Gtpbp4/Mettl16/Prmt7/Cul4a/Las1l/Nufip1/Nsa2/Ngdn/Ruvbl1/Sf3a3/Ckap5/Cdc73/Eif3a/Ddx47/Snrpd1/Ramac/Ddx18/Rbm5/Cpsf6/Srsf1/Rpl35/Riok1/Nudt21/Rrp1b/Rps8/Atm/Rpl10/Dimt1/Hsp90aa1/Pno1/Ftsj3/Srpk2/Dkc1/Tsr2/Snrpg/Taf9/Mak16/Snrpb/Denr/Eif6/Noc4l/Psip1/Rplp0/Rps5/Ptges3/Bysl/Ran/Ago2/Snrpd3/Rrp8/Rpl7/Tent4b/Khdc4/Prkra/Lsm6/Sf3a2/Grwd1/Scaf11/Nol3/Mterf3/Nifk/Aar2/Znhit3/Sart3/Rrn3/Krr1/Exosc1/Rps15a/Rpl26/Malsu1/Dhx30/Ltv1/Cul4b/Wdr18/Snrnp200/Ago4/Gnl3l/Prpf39/Pten/Eif2d/Kri1/Nat10/Sdad1/Trmt112/Rps6/Ruvbl2/Xpo1/Rpl5/Nopchap1/Snrpc/Rpl13a/Rps23/Usp16/Mdn1/Rps21/Rps12/Prpf3/Fbll1/Nop16/Nol9/Gtf2h5/Rps7/Rpusd1/Rpl10a/Nop56/Ddx3x/Ddx28/Rps16/Gemin5/Ddx49/Imp3/Imp4/Rpl6/Lsm4/Rpl11/Rpl24/Ercc2/Prpf6/Rps27/Luc7l3/Sf3b1/Sart1/Eri1/Clp1/Rrp15/Ddx20/Rps13/Rps9/Rbmx/Rpl38/Rps24/Slu7/Mphosph6/Rcl1/Abt1/Ncl/Nop53/Bop1/Mettl5/Pin4/Tssc4/Rps19/Rexo4/Utp11/Dcaf13/Utp23/Tma16/Dnttip2/Rps28/Naf1/Srpk1/Celf4/Nip7/Nop2/Noa1/Pwp1/Rps17/Rpl23a/Puf60/Fau/Wbp11/Riox2/Eif3d/Eif5b/Gnl2/Mphosph10/Eif2s2/Ddx52/Prmt5/Dicer1/Rpusd4/Sf3a1/Suv39h1/Mettl18/Tsr3",246,"Up","Control - Stress"
"GO:0044782","cilium organization",0.0416894229018751,0.0144681734796303,1.46383567033953e-60,4.69086140560303e-57,2.48004580148577e-57,"Ak7/Ttll8/Dnaaf6rt/Tekt1/Drc1/Kif24/Iqcg/Cfap44/Dnaaf5/Dnah1/Cfap126/Cfap65/Ubxn10/Foxj1/Cfap161/Aurka/Dnaaf3/Dnai3/Cimap3/Cfap221/Hydin/Odad3/Cfap206/Dnai2/Odad1/Cfap43/Cfap47/Tekt3/Tekt4/Mapk15/Dnaaf1/Lca5l/Gas8/Spag16/Ttc21a/Spag17/Cfap91/Ccdc96/Rfx2/Spaca9/Mak/Rab29/Zmynd10/Mns1/Odf2l/Meig1/Drc7/Hoatz/Cep135/Cibar2/Fam161a/Armc2/Hyls1/Tctn3/Cdc14a/Dnah5/Rsph4a/Arl6/Tekt2/Spef1/Tmem231/Arl13b/Ttc21b/Cep250/Fam161b/Cfap69/Ulk4/Bbip1/Syne2/Ift88/Bbs12/Fuz/Cfap70/Wdr35/Tmem216/Crocc/Rsph9/Rsph1/Cc2d2a/Ttc12/Ccdc39/Odad4/Dnai4/Ccdc13/Pcnt/Cilk1/Cep164/Cep350/Cep128/Spag1/Ocrl/Erich3/Dnajb13/Ablim3/Ro60/Cfap61/Ccdc40/Entr1/Cdkl5/Ttc8/Cfap54/Dnaaf4/Dnaaf2/Syne1/Cep126/Lrrc61/Ccdc113/Dnal1/Pcm1/Sdccag8/Ccdc88a/Cep162/Cntrl/Dync2h1/Fbxw8/Celsr3/Mkks/Dync2i2/Cdc14b/Rpgrip1l/Cntrob/Tub/Ahi1/Dzip1/Cep83/Bbs10/Dzip1l/Wdr11/Gorab/Rfx4/Ccdc28b/B9d1/Ift52/Ift81/Tekt5/Cep41/Spef2/Ehd3/Cluap1/Rab8a/Dnm2/Ift46/Rpgr/Kcnj10/Kif3b/Alms1/Dcx/Jhy/Cfap20/Ccdc66/Nme5/Dync2i1/Cfap298/Atxn10/Lama5/Nek1/Rfx3/Rilpl2/Ttll3/Cplane2/Ift74/Txndc15/Yif1b/Ttll5/Tctn2/Hap1/Nedd9/Kctd17/Bbs1/Ppp1r35/Cep290/Dnai1/Atg5/Iqub/Nme7/Wdr90/Cep20/Rab11fip3/Clcn4/Tbc1d30/Actr2/Htt/Rab23/Wdr54/Tmem67/Cibar1/Ccdc65/Dynll1/Pqbp1/Atg3/Ift172/Cby1/Bbs4/Ube2b/Gsk3b/Kifap3/Tctn1/Ift122/Ift57/Exoc5/Cep120/Atmin/Iqcb1/Gdi2/Traf3ip1/Kif3a/Cep70/Cdk10/Ssna1/Snap29/Pcdh15/Csnk1d/Ift22/Bbs5/Cplane1/Eno4/Pibf1/Ptpn23/Snx10/Ehd2/Daw1/B9d2/Bbs7/Tbc1d32/Ablim1/Hdac6/Nudcd3/Prickle1/Ehd1",229,"Up","Control - Stress"
"GO:0006397","mRNA processing",0.0415073730202075,0.0171679761863556,3.10362062153086e-43,3.31518409389855e-40,1.75272890889611e-40,"Armc7/Gcfc2/Fastkd5/Ern1/Papolg/Zcchc8/Tut1/Ppwd1/Rbm24/Gpkow/Aff2/Hmx2/Tra2a/Iws1/Polr2d/Dnajc17/Hnrnpk/Bud13/Pnn/Crnkl1/Ptcd2/Srsf6/Celf6/Ybx1/Dhx16/Trmt2a/Cmtr1/Cnot6l/Thoc1/Rnasel/Lsm3/Dbr1/Dcps/Snrpb2/Pcbp4/Sugp2/Srsf9/Celf3/Sltm/Lsm2/Gemin8/Rsrp1/Pcf11/Snrpf/Srsf12/Luc7l/Mtrex/Ddx17/Prpf38b/Dhx38/Cmtr2/Dhx36/Dhx9/Cpeb1/Rbm6/Alyref/Srek1/Rbm20/Dhx15/Fxr1/Nono/Hnrnpc/Rest/Srsf2/Rbm19/Npm1/Ythdc1/Acin1/Sf3b4/Prmt7/Htatsf1/Sf3a3/Prpf4b/Zmat5/Papola/Thoc6/Cdc73/Snrnp25/Fip1l1/Ddx47/Ppp4r2/Snrpd1/Ramac/Zrsr2/Rbm5/Cpsf6/Gpatch1/Srsf1/Slc39a5/Tent4a/Scaf1/Srrm4/Nudt21/Tbrg4/Ddx23/Zc3h13/Rrp1b/Paf1/Rbm25/Safb/Cdc5l/Aqr/Thoc5/Srpk2/Thoc2/Srrm1/Snrpa1/Mettl14/Rbm26/Mettl3/Snrpg/Cwc22/Snrpb/Ssu72/Psip1/Tia1/Nup98/Cstf2t/Ddx41/Nova1/Wbp4/U2af2/Ppil2/Tcerg1/Snrpd3/Jmjd6/Tent4b/Txnl4a/Khdc4/Lsm6/Sf3a2/Sfpq/Scaf11/Nol3/Hsf1/Aar2/Sart3/Rbfox2/Hnrnpm/Ppie/Wdr83/Snrnp200/Rbm39/Prpf39/Phf5a/Hspa8/Nsrp1/Rbm22/Cstf3/Rprd1b/Magoh/Adarb2/Prkrip1/Lsm11/Snrpc/Ddx5/Fam50a/Cwc15/Ddx1/Sap18/Bcas2/Prpf3/Srrm2/Virma/Sf3b6/Cstf1/Prkaca/Gemin5/Rprd1a/Wdr33/Pqbp1/Lsm4/Larp7/Fam172a/Fmr1/Prpf6/Luc7l3/Sf3b1/Sf3b2/Sart1/Rbm15/Xrn2/Prpf40a/Clp1/Ik/Eftud2/Ddx20/Srrt/Cdk12/Chd8/Rbmx/Lsm10/Smu1/Hnrnpa1/Khdrbs2/Prdx6/Cdc40/Prpf40b/Slu7/Ccar2/Snrnp70/Srsf3/Rnmt/Ncl/Lsm7/Tssc4/Bud31/Rbm8a/Grsf1/Hnrnpu/Ubl5/Phrf1/Rnps1/Srpk1/Celf4/Kin/Zfp64/Puf60/Wbp11/Tra2b/Hnrnpl/Sf3b3/Snrnp40/Prmt5/Hnrnph1/Thoc7/Rpusd4/Sf3a1",228,"Up","Control - Stress"
"GO:0060271","cilium assembly",0.039140724558529,0.0133951749679831,2.56928841759548e-58,5.48885648945648e-55,2.901943654821e-55,"Ak7/Ttll8/Dnaaf6rt/Tekt1/Drc1/Kif24/Iqcg/Cfap44/Dnaaf5/Dnah1/Cfap65/Ubxn10/Foxj1/Cfap161/Dnaaf3/Dnai3/Cfap221/Hydin/Odad3/Cfap206/Dnai2/Odad1/Cfap43/Cfap47/Tekt3/Tekt4/Mapk15/Dnaaf1/Gas8/Spag16/Spag17/Cfap91/Ccdc96/Rfx2/Spaca9/Mak/Rab29/Zmynd10/Mns1/Odf2l/Meig1/Drc7/Hoatz/Cep135/Cibar2/Fam161a/Armc2/Hyls1/Tctn3/Cdc14a/Dnah5/Rsph4a/Arl6/Tekt2/Spef1/Tmem231/Arl13b/Ttc21b/Cep250/Cfap69/Ulk4/Bbip1/Syne2/Ift88/Fuz/Cfap70/Wdr35/Tmem216/Crocc/Rsph9/Rsph1/Cc2d2a/Ttc12/Ccdc39/Odad4/Dnai4/Ccdc13/Pcnt/Cilk1/Cep164/Cep350/Cep128/Spag1/Ocrl/Erich3/Dnajb13/Ablim3/Ro60/Cfap61/Ccdc40/Entr1/Cdkl5/Ttc8/Cfap54/Dnaaf4/Dnaaf2/Syne1/Cep126/Lrrc61/Ccdc113/Dnal1/Pcm1/Sdccag8/Ccdc88a/Cep162/Cntrl/Dync2h1/Fbxw8/Celsr3/Mkks/Dync2i2/Cdc14b/Rpgrip1l/Cntrob/Ahi1/Dzip1/Cep83/Bbs10/Dzip1l/Wdr11/Gorab/Rfx4/Ccdc28b/B9d1/Ift52/Ift81/Tekt5/Cep41/Spef2/Ehd3/Cluap1/Rab8a/Dnm2/Ift46/Rpgr/Kcnj10/Kif3b/Alms1/Dcx/Jhy/Cfap20/Ccdc66/Nme5/Dync2i1/Cfap298/Atxn10/Lama5/Nek1/Rfx3/Rilpl2/Ttll3/Cplane2/Ift74/Txndc15/Yif1b/Ttll5/Tctn2/Hap1/Kctd17/Bbs1/Ppp1r35/Cep290/Dnai1/Atg5/Iqub/Wdr90/Cep20/Rab11fip3/Clcn4/Tbc1d30/Actr2/Htt/Rab23/Wdr54/Tmem67/Cibar1/Ccdc65/Dynll1/Pqbp1/Atg3/Ift172/Cby1/Bbs4/Ube2b/Gsk3b/Tctn1/Ift122/Ift57/Exoc5/Cep120/Atmin/Iqcb1/Gdi2/Traf3ip1/Kif3a/Cep70/Cdk10/Snap29/Pcdh15/Csnk1d/Ift22/Bbs5/Cplane1/Pibf1/Ptpn23/Snx10/Ehd2/Daw1/B9d2/Bbs7/Tbc1d32/Ablim1/Nudcd3/Prickle1/Ehd1",215,"Up","Control - Stress"
"GO:0034470","ncRNA processing",0.0382304751501912,0.0142951092035582,1.42780801318184e-48,2.28770538912061e-45,1.20950368274536e-45,"Dus4l/Pop1/Sirt7/Tdrd1/Lin28b/Trmo/Pwp2/Pih1d2/Utp14a/Zcchc8/Mettl6/Gar1/Nop10/Tut1/Urb1/Nol6/Pdcd11/Mocs3/Mettl8/Tut4/Exosc5/Rpp38/Zc3h7a/Trmt5/Wdr3/Ddx56/Trmt2b/Ints9/Rpf1/Nsun4/Ints1/Qtrt1/Ints3/Mterf4/Thumpd2/Rpp40/Usb1/Lyar/Trmu/Elp6/Trmt2a/Pop4/Rrp9/Thg1l/Ddx10/Rnasel/Nol8/Rsl1d1/Shq1/Ints8/Hsd17b10/Tsr1/Ddx54/Cdkal1/Nvl/Nop9/Mtrex/Ddx17/Wdr55/Pusl1/Tut7/Fcf1/Nsun5/Elp1/Pes1/Rrp36/Yrdc/Thumpd3/Trmt1l/Pop5/Mtfmt/Ints6/Dgcr8/Dtwd1/Exosc3/Trmt6/Rrp7a/Mrm3/Ago3/Rpl14/Npm1/Rbm34/Gtpbp4/Mettl16/Trmt10a/Las1l/Nsa2/Ngdn/Ctu1/Ddx47/Adat2/Wdr6/Tdrd7/Ddx18/Nup155/Rpl35/Rtcb/Riok1/Tsn/Ssb/Elac2/Rrp1b/Rps8/Dimt1/Ftsj3/Rpp25l/Ints5/Pus10/Dkc1/Tsr2/Mettl3/Mak16/Eif6/Bysl/Ago2/Rrp8/Rpl7/Stat3/Tent4b/Prkra/Lsm6/Ripk1/Tyw3/Trmt11/Nifk/Znhit3/Krr1/Exosc1/Parn/Rpl26/Ptcd1/Elp4/Wdr18/Ago4/Kri1/Nat10/Trmt112/Rps6/Gon7/Elp2/Rpl5/Tdrkh/Ints10/Mettl1/Ddx5/Ddx1/Rps21/Fbll1/Nol9/Gtf2h5/Rps7/Trmt10c/Rpusd1/Rpl10a/Trmt10b/Tsnax/Ddx3x/Rps16/Ddx49/Pus3/Imp3/Imp4/Larp7/Rpl11/Dalrd3/Zc3h10/Ercc2/Rps27/Ints4/Sart1/Eri1/Clp1/Rrp15/Srrt/Rps24/Thumpd1/Ctu2/Srsf3/Mphosph6/Rcl1/Abt1/Ncl/Nop53/Bop1/Mettl5/Pin4/Rps19/Rexo4/Utp11/Dcaf13/Utp23/Grsf1/Nr2f1/Rps28/Pum2/Naf1/Nop2/Pwp1/Rps17/Wbp11/Ints14/Mphosph10/Nsun6/Ddx52/Dicer1/Rpusd4/Trmt13/Suv39h1/Mettl18/Tsr3",210,"Up","Control - Stress"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.0382304751501912,0.0156103977017064,5.93056773989776e-41,5.42985837785782e-38,2.87075151198961e-38,"Ubxn10/Aurka/Ubxn11/Fbxl13/Fbxl3/Rad23a/Cul1/Usp14/Fbxl8/Fbxo27/Trim13/Fbxl7/Rnf180/Det1/Pml/Atxn3/Hspa5/N4bp1/Sh3rf1/Cdc20/Smurf2/Stub1/Bmal1/Rnf10/Topors/Plk2/Tmub2/Phf20l1/Hfe/Ecpas/Nhlrc3/Mtm1/Ufl1/Nhlrc1/Uchl5/Styx/Zswim8/Fbxl4/Aup1/Rnf121/Fbxw8/Nedd4l/Fhit/Bcap31/Cul2/Sharpin/Ubr1/Smarcc1/Rnf144a/Usp7/Stt3b/Trip12/Spsb3/Mapk8/Gclc/Nemf/Pias1/Ccdc47/Ubxn2a/Psmf1/Ubxn4/Erlec1/Ambra1/Trim2/Cul4a/Ubxn8/Senp1/Fbxw5/Man1b1/Spsb2/Znrf2/Pcbp2/Atg7/Ube2a/Dnajb9/Csnk1a1/Clgn/Rhobtb3/Ube2n/Hsp90b1/Psmc4/Plaa/Fbxw4/Usp9x/Wfs1/Psen1/Dmac2/Sec61b/Ubxn1/Usp5/Taf9/Bag6/Ubqln2/Psmd7/Cdc16/Armc8/Apc/Derl2/Rnf187/Arih2/Hectd3/Cul5/Sirt1/Klhdc10/Kctd17/Psmb3/Trim45/Yod1/Psmd6/Ube2d3/Anapc11/Ltn1/Trim9/Ppp2cb/Canx/Arrb2/Xpo1/Tbl1x/Psmb5/Ube2k/Rbck1/Itch/Cbfa2t3/Btrc/Fbxo3/Fbxl17/Tmem67/Tnfaip1/Fem1b/Ubqln1/Epm2a/Selenos/Mta1/Rnf185/Dda1/Fbxo7/Rchy1/Rack1/Znrf1/Ube3a/Cdc23/Ube2b/Rpl11/Dnajc10/Gsk3b/Cul3/Maea/Eif3h/Appbp2/Ubxn7/Nfe2l2/Fbxo31/Anapc5/Klhl22/Hectd1/Psmc6/Kat5/Rnf34/Rffl/Commd1/Psmd8/Edem2/Nsfl1c/Fbxl15/Derl3/Amfr/Rnf5/Ccar2/Derl1/Rnf19b/Crbn/Wac/Trim3/Nop53/Ccnf/Cdc27/Csnk1d/Os9/Rnf122/Spsb4/Gid8/Psma5/Anapc10/Dcaf13/Ppp2r5c/Akirin2/Apc2/Tlk2/Ube2j1/Ube2v2/Ubxn2b/Gba1/Ddrgk1/Fem1a/Sumo1/Rbx1/Dnajb2/Usp19/Cdc34/Psmd1/Edem3/Nploc4/Park7/Cdc26/Bbs7/Herc2/Prickle1/Amn1/Zer1/Zyg11b",210,"Up","Control - Stress"
"GO:0006338","chromatin remodeling",0.037866375386856,0.0169256861998546,1.59424365069213e-33,9.28864323389622e-31,4.91088068093584e-31,"Tti1/Brca1/Sirt7/Nfat5/L3mbtl1/Tet3/Dtx3l/Tex15/Mthfr/Lhx2/Setd7/Dpf3/Dot1l/Mecom/Iws1/Brd3/Smarca1/Mysm1/Ndn/L3mbtl3/Ss18/Rlim/Mybbp1a/Yeats2/Zdbf2/Mphosph8/Ttf1/Hdac4/Tfpt/Resf1/Sin3a/Actr5/Mcm2/Pcgf2/Suz12/Riox1/Uchl5/Yy1/Msl3/Pcgf5/Tet1/Kdm5c/Pcid2/Epc1/Kmt2a/Kdm4d/Samd1/Smyd3/Rnf20/Cfdp1/Tcf3/Scmh1/Kat6b/Smarcc1/Smarca2/Dpf1/Usp7/Sphk2/Rere/Ino80d/Trip12/Ctr9/Bicral/Kdm6b/Kansl1/Kat6a/Yeats4/Smarce1/Ssrp1/Rest/Npm1/Kansl2/Ythdc1/Hat1/Prmt7/Msl1/Glyr1/Cenpv/Kdm5a/Cdkn1c/Ruvbl1/Rif1/Hcfc2/Brpf1/Ubr5/Hdac3/Hdgfl2/Kdm4b/Baz1b/Atrx/Lcor/Smyd2/Pik3ca/Bahd1/Cbx8/Hmgb1/Tpr/Ddx23/Rbbp5/Hdgfl3/Cggbp1/Arid4b/Srpk2/Pcgf3/Nipbl/Tasor2/Hp1bp3/Setdb1/Atf2/Rnf2/Mettl3/Rbbp4/Smchd1/Pcgf1/Kdm2a/Ino80/Arid2/Tasor/Chd5/Usp15/Jdp2/Psip1/Phf2/Lrif1/Mtf2/Jmjd6/Rrp8/Dpy30/Chd1/Hdgf/Sfpq/Nap1l5/Grwd1/Sirt1/Ezh2/Pbrm1/Sart3/Chrac1/Dnmt1/Kdm5b/Pcgf6/Bptf/Hdac2/Dek/Rnf168/Arid4a/Znhit1/Trmt112/Ruvbl2/Kmt5b/Naa60/Cdyl/Phb1/Usp16/Rnf8/Tspyl1/Tspyl2/Nap1l4/Ep300/Hells/Chd2/Mta1/Per2/Lmnb2/Coprs/Actl6b/Fam172a/Gsk3b/Trim37/Shprh/Bicra/Gatad1/Sf3b1/Nap1l3/Rbm15/Nudt5/N6amt1/Gnas/Kat5/Kdm4a/Nap1l1/Nap1l2/Chd8/Kdm2b/Kansl3/Brd9/Baz2a/Setd2/Wac/Smarcb1/Nsd1/Kdm1a/Arid1a/Dcaf13/Hnrnpu/Rsf1/Rbbp7/Trim28/Morf4l1/Jarid2/Satb1/Phf20/Chaf1b/Hdac6/Dicer1/Eif1/Suv39h1/Sox9",208,"Up","Control - Stress"
"GO:0008380","RNA splicing",0.0373202257418533,0.0155411719912776,1.95543415966184e-38,1.56654719115909e-35,8.28229284204141e-36,"Armc7/Gcfc2/Clk1/Ern1/Zcchc8/Taf5l/Ppwd1/Rbm24/Gpkow/Aff2/Hmx2/Tra2a/Iws1/Dnajc17/Hnrnpk/Bud13/Pnn/Crnkl1/Srsf6/Celf6/Usb1/Ybx1/Dhx16/Thoc1/Lsm3/Dbr1/Dcps/Snrpb2/Pcbp4/Sugp2/Atxn7/Ccnl1/Srsf9/Celf3/Lsm2/Gemin8/Rsrp1/Snrpf/Srsf12/Luc7l/Mtrex/Ddx17/Prpf38b/Dhx38/Dhx9/Rbm6/Alyref/Srek1/Rbm20/Dhx15/Fxr1/Nono/Hnrnpc/Rp9/Rest/Srsf2/Rbm19/Npm1/Ythdc1/Acin1/Sf3b4/Prmt7/Clk2/Htatsf1/Sf3a3/Prpf4b/Zmat5/Thoc6/Snrnp25/Ddx47/Ppp4r2/Snrpd1/Zrsr2/Rbm5/Srsf1/Slc39a5/Rtcb/Scaf1/Srrm4/Ddx23/Zc3h13/Rrp1b/Rbm25/Cdc5l/Aqr/Thoc5/Srpk2/Thoc2/Srrm1/Snrpa1/Mettl14/Mettl3/Snrpg/Taf9/Cwc22/Prmt1/Snrpb/Psip1/Tia1/Nup98/Ddx41/Nova1/Taf15/Wbp4/U2af2/Ppil2/Tcerg1/Snrpd3/Jmjd6/Txnl4a/Khdc4/Lsm6/Sf3a2/Sfpq/Scaf11/Rps26/Nol3/Aar2/Sart3/Rbfox2/Hnrnpm/Ppie/Mettl4/Wdr83/Snrnp200/Tada1/Rbm39/Prpf39/Phf5a/Hspa8/Nsrp1/Rbm22/Fastk/Magoh/Prkrip1/Snrpc/Ddx5/Fam50a/Cwc15/Ddx1/Sap18/Bcas2/Prpf3/Srrm2/Virma/Sf3b6/Gemin5/Pqbp1/Lsm4/Larp7/Fam172a/Zc3h10/Fmr1/Prpf6/Luc7l3/Sf3b1/Sf3b2/Sart1/Rbm15/Eny2/Prpf40a/Clp1/Ik/Eftud2/Ddx20/Rps13/Cdk12/Rbmx/Lsm10/Smu1/Hnrnpa1/Pik3r1/Khdrbs2/Prdx6/Cdc40/Prpf40b/Slu7/Ccar2/Snrnp70/Taf12/Srsf3/Ncl/Lsm7/Tssc4/Bud31/Rbm8a/Grsf1/Hnrnpu/Ubl5/Rnps1/Srpk1/Celf4/Zfp64/Puf60/Wbp11/Tra2b/Hnrnpl/Sf3b3/Snrnp40/Prmt5/Hnrnph1/Thoc7/Rpusd4/Sf3a1/Polr2a",205,"Up","Control - Stress"
"GO:0007018","microtubule-based movement",0.0360458765701802,0.0155411719912776,1.4618168230427e-34,1.04097600209785e-31,5.50361210920989e-32,"Ak7/Ttll8/Gas2l2/Dnaaf6rt/Tekt1/Dnah10/Drc1/Kif24/Iqcg/Cfap44/Dnaaf5/Dnah1/Dnah12/Cfap65/Dnai3/Dynlrb2/Cfap221/Hydin/Odad3/Cfap206/Dnai2/Odad1/Cfap43/Cfap47/Tekt3/Tekt4/Dnaaf1/Lca5l/Gas8/Spag16/Clxn/Ttc21a/Slc9b2/Spag17/Dnali1/Dynlt4/Enkur/Mak/Cfap53/Dnah3/Zmynd10/Mns1/Kif23/Meig1/Nek10/Dnah6/Dynlt5/Drc7/Hoatz/Nsun7/Armc2/Dnah5/Tcte1/Dnah9/Rsph4a/Tekt2/Ttll9/Spef1/Cacna1e/Cfap52/Ttc21b/Mreg/Cfap69/Ulk4/Syne2/Ift88/Bbs12/Fuz/Cfap70/Wdr35/Kif9/Trim46/Camsap3/Rsph9/Ttc12/Ccdc39/Odad4/Dnai4/Invs/Cilk1/Cep128/Cfap61/Catsperz/Cfap45/Ccdc40/Cfap54/Dnaaf4/Dnaaf2/Pcm1/Ccnyl1/Tacr3/Dync2h1/Celf3/Nphp4/Mkks/Dync2i2/Tub/Dzip1/Stk11/Ift52/Ift81/Kif6/Tekt5/Sybu/Ap3b1/Spef2/Cenpe/Cluap1/Fmn2/Ift46/Rpgr/Neto1/Ropn1l/Flot2/Kif3b/Rabgef1/Dlg2/Anxa5/Bloc1s6/Jhy/Borcs5/Cfap20/Nme5/Hspb1/Kif21a/Dync2i1/Cfap298/Tmf1/Rfx3/Bicd2/Rab27b/Ttll3/Ift74/Yif1b/Ttll5/Kpnb1/Hap1/Spg11/Dynlt3/Sfpq/Bbs1/Dnai1/Dnaja1/Nme7/Mapk8ip3/Kif2a/Ktn1/Snapin/Actr2/Hspa8/Copg2/Hif1a/Htt/Dst/Ap3d1/Spast/Pura/Kxd1/Ccdc65/Dynll1/Ift172/Bbs4/Ube2b/Kifap3/Fmr1/Sod1/Ift122/Ift57/Map2/Ank3/Kif15/Kif1b/Ash1l/Traf3ip1/Kif3a/Borcs6/Sun1/Bloc1s5/Copg1/Ssna1/Stau1/Ap3b2/Tmem108/Ift22/Hnrnpu/Bloc1s4/Eno4/Bicd1/Armcx3/Dync1i1/Rab21/Daw1/Bloc1s2/Hdac6/Kif13a/Terf2/Trak1/Rhot2",198,"Up","Control - Stress"
"GO:0072594","establishment of protein localization to organelle",0.0342253777535045,0.0156450105569208,6.23550270666242e-29,2.22018538038886e-26,1.17380603583312e-26,"Lrp2/Kcnq2/Brca1/Pex12/Pola2/Nup107/Immp2l/Chmp4b/Pex16/Sh3glb1/Pml/Mterf4/Hspa5/Tram1l1/Smo/Bmal1/Ranbp2/Nup54/Cacng3/Jak2/Nup35/Fam53b/Tspo/Pex6/Ap4m1/E2f3/Agk/Rab8b/Bcap31/Terf1/Hsp90ab1/Pik3c3/Tnfrsf1a/Pmpca/Prkd1/Ap3b1/Spidr/Ssr3/Cct8/Cct3/Nup153/Cct7/Snx16/Bid/Cct6a/Get3/Med1/Vps37a/Bax/Ubr5/Vps37c/Hdac3/Pkig/Macf1/Tmco6/Nup155/Pex5/Sec63/Spcs2/Tpr/Sec13/Pxk/Acd/Hsp90aa1/Gcc2/Srp14/Nipbl/Dkc1/Usp9x/Bag4/Psen1/Atf2/Cct2/Cacng5/Sec61b/Stk3/Stk4/Lrwd1/Bag6/Vps13d/Dnlz/Romo1/Tcp1/Nup188/Nup98/Kpnb1/Tnpo3/Kpna3/Ran/Stam/Spcs3/Cct4/Spg11/Sorl1/Stat3/Nup50/Cse1l/Gli3/Nutf2/Nol3/Dnaja1/Srp19/Tomm20/Cdh1/Vps37d/Vps25/Zfand6/Tsg101/Timm17a/Akap5/Hspa8/Ruvbl2/Timm10/Hgs/Pik3r4/Sec61a1/Rbm22/Hspd1/Rab23/Ranbp6/Mff/Maip1/Ddx5/Ipo7/Fis1/Srp72/Sec62/Gdap1/Ap3d1/Dnajc19/Ep300/Epm2a/Trmt10b/Pmpcb/Cct5/Sqstm1/Fbxo7/Nabp2/M6pr/Get1/Trim37/Ipo8/Lonp2/Ift122/Nolc1/Timm29/Timm9/Ing1/Tomm34/Timm13/Srp68/Rab3gap1/Hyal2/Spcs1/Timm17b/Srebf1/Pik3r1/Ufm1/Moap1/Ncoa4/Ipo11/Eif4enif1/Mtch2/Bag3/Pex3/Nup62/Mapk1/Srp9/Tnpo2/Nup214/Akirin2/Cd36/Kpna1/Vps36/Trim28/Ipo5/Dnajc15/Mon1a/Sumo1/Ptpn23/Ei24/Ppp3ca/Ppp3r1/Nedd4/Mfn2/Prickle1/Tnpo1/Tomm22",188,"Up","Control - Stress"
