"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0375722543352601,0.0152296562943477,6.02601271289439e-38,3.87773918074754e-34,1.9873155609998e-34,"Gcfc2/Mettl18/Eral1/Pih1d2/Bud23/Nop9/Eri1/Riok1/Polr2d/Exosc3/Srfbp1/Heatr1/Exosc1/Snrpf/Fcf1/Mrm2/Ddx31/Ebna1bp2/Crnkl1/Rsrp1/Prkdc/Rpl7l1/Afg2a/Urb1/Pin4/Rpl11/Bop1/Utp3/Rrp36/Khdc4/Pwp1/Rrp8/Tarbp2/Wdr3/Wdr75/Imp4/Srpk1/Rpp25/Rbm34/Gemin2/Lsg1/Rpl27/Ddx51/Gtf2h5/Sbds/Rnasel/Nudt21/Ltv1/Mettl16/Afg2b/Utp23/Nup88/Utp25/Snrpd1/Dcaf13/Kat2b/Utp4/Xpo1/Tsr2/Nol10/Pdcd11/Sirt7/Sde2/Ago4/Emg1/Rps13/Nop53/Slu7/Nol6/Prpf6/Gemin4/Rps25/Chd7/Nol7/Ythdc1/Prmt5/Mak16/Nifk/Esf1/Ddx47/Rps27l/Hsp90aa1/Utp15/Gar1/Rexo4/Lsm2/Glul/Ptbp2/Slx9/Rbfa/Exosc5/Mcts1/Denr/Mrps7/Fbl/Znhit6/Rbm5/Wdr46/Dhx29/Adar/Snrpg/Exosc8/Mrps2/Rpp40/Nop14/Rrs1/Wdr12/Ddx28/Mbnl1/Ddx18/Celf1/Prmt7/Snu13/Rpl23a/Srsf6/Rpf1/Ruvbl2/Nop10/Rrp1b/Ddx17/Dkc1/Riok2/Brix1/Rpl26/Dicer1/Abt1/Rpp30/Pak1ip1/Luc7l3/Drosha/Abce1/Rps8/Gnl2/Clp1/Rps17/Rps23/Noa1/Dis3/Gtpbp10/Rpl5/Prpf3/Las1l/Usp4/Cul4a/Dnttip2/Tssc4/Rpusd1/Ran/Eif2s2/Fau/Nop58/Snrpb/Zcchc4/Shq1/Prpf8/Ddx54/Srpk2/Rpp38/Mpv17l2/Rbis/Nufip1/Rps19/Rps21/Atm/Eif2a/Mrm3/Rps24/Wdr43/Rplp0/Imp3/Mphosph10/Malsu1/Rps12/Ckap5/Rps6/Ftsj3/Eif5/Znhit3/Trmt112/Wdr18/Rpl10/Rpl38/Rpusd2/Rps14/Rpl24/Ddx10/Rrp12/Rpl7/Fastkd2/Ddx39b/Tfb2m/Rpf2/Nopchap1/Cpsf7/Snrpe",195,"Up","Control - Stress"
"GO:0006397","mRNA processing",0.0369942196531792,0.0171679761863556,4.6973734748214e-28,5.03793305174595e-25,2.58190720993253e-25,"Rbm38/Gcfc2/Ppil1/Rbm47/Fastkd5/Pnpt1/Usp49/Polr2d/Scaf4/Brdt/Armc7/Cdk13/Tent2/Cpsf1/Cstf3/Ttf2/Snrpf/Alkbh5/Slc39a5/Bud13/Crnkl1/Rsrp1/Yju2/Tia1/Aff2/Zfp36l1/Paxbp1/Snw1/Snrnp35/Khdc4/Ppie/Snrnp48/Htatsf1/Snrnp40/Prdx6/Srpk1/Jmjd6/Rbm24/Gemin2/Pcbp4/Rbmx2/Rnasel/Prpf38b/Nudt21/Pabpc1/Fam50a/Rbm8a/Snrpd1/Arl6ip4/Akap8l/Hnrnpf/Magoh/Srrm4/Snip1/Snrnp25/Tsen54/Tdrd3/Srek1ip1/Smndc1/Sde2/Nono/Cript/Kin/Cwc15/Prpf40b/Slu7/Dhx8/Rbm17/Qki/Pus1/Prpf6/Gemin4/Pus7/U2af1/Zcrb1/Ythdc1/Khdrbs3/Prmt5/Rprd1b/Ddx47/Pnn/Lsm2/Rbm39/Ptbp2/Sf3b5/Hnrnpl/Rbm11/Fmr1/Rbm27/Lsm1/Rbm5/Hnrnpc/Fxr2/Rsrc1/Adar/Snrpg/Eftud2/Virma/Aplp1/Dhx16/Tra2a/Sfpq/Mbnl1/Ddx5/Hsf1/Celf1/Prmt7/Fip1l1/Srsf2/Hnrnpa2b1/Srek1/Nova1/Snu13/Srsf6/Prkrip1/Rrp1b/Ddx17/Pcf11/Cactin/Cdk12/Mettl3/Ppwd1/Ppil2/Hnrnpm/Tfip11/Txnl4b/Luc7l3/Trmt2a/Clp1/Larp7/Fxr1/Zmat2/Srsf3/Dcps/Prpf3/Plrg1/Usp4/Ppp4r2/Adarb1/Zc3h14/Cpsf3/Tssc4/Safb2/Habp4/Iws1/Pcbp1/Snrnp70/Rprd1a/Hspa8/Smu1/Nova2/Snrpb/Prkaca/Dnajc17/Prpf4/Prpf8/Tsen15/Ptbp1/Scnm1/Srpk2/Thoc1/Tra2b/Dhx15/Ahcyl1/Dus3l/Dbr1/Nsrp1/Bcas2/Sympk/Ddx1/Ddx23/Srsf7/Papola/Cstf2/Pde12/Hnrnpll/Grsf1/Wbp4/Cdc5l/Hnrnph1/Snrpb2/Lsm7/Rpusd2/Srsf9/Txnl4a/Ddx39b/Csdc2/Ncbp2/Rbm25/Trub2/Cpsf7/Snrpe",192,"Up","Control - Stress"
"GO:0031400","negative regulation of protein modification process",0.036223506743738,0.0163718805164238,3.55977633640694e-29,5.72679018119467e-26,2.93494191104288e-26,"Gadd45g/Niban1/Pax6/Spry4/Dtx3l/Cd109/Hspb1/N4bp1/Cav1/Akt1s1/Mgat4d/Smad7/P3h1/Hmg20b/Errfi1/Ppp1r16b/Lrrk2/Gclc/Snta1/Spry2/Tfap4/Lats2/Insm1/Trim27/Drd5/Trim21/Il18/Rgs14/Parp14/Ctdspl/Prkdc/Lrrk1/Dbndd2/Minar1/Dusp10/Trib1/Grk2/Mad2l1/Rpl11/Dusp7/Pcp4/Rasd2/Pwp1/Gadd45a/Spred1/Tsc2/Pebp1/Atg14/Chmp6/Fbln1/Jun/Inppl1/Epm2a/Shb/Ctdsp2/Prmt3/Ptpro/Traf3ip1/Stk38/Bmp2/Dnajc3/Enpp1/Bag2/Cnksr3/Prr5l/Ogt/C9orf72/Pid1/Men1/Drd2/Casp3/Dusp3/Gps2/Hexim1/Dbi/Kat2b/Nnt/Limk1/Oxr1/Myadm/Ibtk/Fkbp1b/Sirt7/Insr/Prkcz/Rasip1/Heg1/Sirt2/Cdkn1b/Rgs2/Ube2b/Arrb1/Mapk8ip1/Cops9/Spopl/Tmed2/Inpp5f/Lrp6/Mlxipl/Wnk1/Chp1/Cdkn1a/Abl1/Inpp5j/Lyn/Drd1/Ptprb/Adar/Sema4d/Pik3cb/Aida/Ppp5c/Dcun1d3/Ppp4r4/Cep85/Wwtr1/Dnajc10/Wars1/Dmd/Agt/Pde4d/Hdac8/Gstp1/Dtnbp1/Fyn/Prkrip1/Plpp3/Prkar1a/Pkib/Pard6a/Psen2/Klf15/Dnaja1/Atp2b4/Cactin/Apc/Pkia/Dusp19/Rock1/Arpp19/Dusp16/Tsg101/Rpl5/Fry/Usp4/Adarb1/Ppef2/Rpl23/Nos1/Gnai2/Ntrk3/Rps3/Hipk3/Nup62/Itgb1bp1/Akap1/Rtraf/Sh3bp5l/Vps28/Akt1/Ocln/Senp2/Ppargc1a/Inpp5k/Hint2/Thy1/Sirt3/Per2/Ilk/Actb/Gfra2/Camk2n1/Dvl1/Socs4/Prkag2/Nf2/Prkcg/Psen1/Nxn/Tiprl/Hspa4/Apoe/Ppm1f/Ywhab/Cry1/Pias3/Gsk3b/Eif4g1",188,"Up","Control - Stress"
"GO:0034470","ncRNA processing",0.035645472061657,0.0142951092035582,8.02232215340248e-37,2.58118215285725e-33,1.32283870034789e-33,"Qtrt1/Tdrd9/Mettl18/Zbtb8os/Pnpt1/Pih1d2/Bud23/Nop9/Wdr4/Eri1/Riok1/Exosc3/Henmt1/Srfbp1/Heatr1/Exosc1/Mettl1/Ints12/Fcf1/Mrm2/Trmt12/Ebna1bp2/Prkdc/Qtrt2/Mocs3/Bmp4/Rpl7l1/Toe1/Urb1/Pin4/Rpl11/Bop1/Lage3/Utp3/Rrp36/Trmt9b/Pwp1/Ptcd1/Rrp8/Tarbp2/Wdr3/Wdr75/Sepsecs/Imp4/Rpp25/Rbm34/Zc3h10/Rpl27/Ddx51/Gtf2h5/Sbds/Rnasel/Ints2/Ints6/Gon7/Mettl16/Utp23/Tyw3/Utp25/Thada/Ankrd34c/Dcaf13/Kat2b/Mettl6/Utp4/Snip1/Tsr2/Nol10/Tsen54/Pdcd11/Sirt7/Trpt1/Sde2/Trmu/Tprkb/Tsn/Trmo/Trmt10c/Ago4/Emg1/Nop53/Nol6/Pus1/Rps25/Pus7/Chd7/Mak16/Nifk/Esf1/Ddx47/Utp15/Gar1/Rexo4/Ints11/Slx9/Rbfa/Exosc5/Fbl/Ints14/Dus2/Trmt1/Znhit6/Wdr46/Adar/Exosc8/Rpp40/Nop14/Rrs1/Wdr12/Yrdc/Ddx18/Ddx5/Hnrnpa2b1/Dtwd1/Snu13/Rpf1/Nop10/Rrp1b/Zmpste24/Ddx17/Trmt13/Dkc1/Riok2/Osgepl1/Brix1/Rpl26/Mettl3/Rpp25l/Dicer1/Dalrd3/Abt1/Trmt1l/Rpp30/Drosha/Rps8/Trmt2a/Clp1/Larp7/Rps17/Srsf3/Dis3/Rpl5/Las1l/Rpusd1/Tdrkh/Zcchc4/Rtraf/Shq1/Trmt5/Akt1/Tsen15/Ddx54/Ints5/Rtcb/Nsun2/Rpp38/Lcmt2/Ints9/Ssb/Rps19/Rps21/Mrm3/Dus3l/Rps24/Wdr43/Ddx1/Tsnax/Ankrd16/Imp3/Grsf1/Mphosph10/Rps6/Ftsj3/Znhit3/Trmt112/Elp5/Wdr18/Rpusd2/Ddx10/Rrp12/Rpl7/Tfb2m/Ncbp2/Rpf2/Trub2",185,"Up","Control - Stress"
"GO:0009117","nucleotide metabolic process",0.0346820809248555,0.01720258904157,1.54093263827456e-22,4.72185787014134e-20,2.41992077980662e-20,"Fmo5/Cda/Cfh/Nadsyn1/Slc25a13/Lacc1/Dpyd/Nudt13/Nme6/Adcy9/Idh1/Rrm2/Umps/Nudt7/Lrrk2/Nadk/Slc25a42/Ola1/Nt5c2/Nmnat1/Pdk4/Aspdh/Dut/Dmac2l/Entpd7/Pipox/Flad1/Slc52a3/Gmpr2/Mlycd/Gck/Tbpl1/Nudt3/Clpx/Rab23/Acsl6/Hmgcl/Sdhc/Mdh1b/Gart/Ndufa8/Mmut/Ndufab1/Gucy1a1/Prps2/Fcsk/Acss1/Acsl3/Shmt1/Enpp1/Samhd1/Mthfd2l/Ehhadh/Pid1/Abcd1/Atpsckmt/Slc4a7/Dip2a/Entpd5/Far1/Sult2b1/Pank4/Nudt4/Gpat4/Sdhb/Mpc2/Nnt/Coasy/Mlst8/Atp7a/Rpe/Nppc/Parg/Nudt11/Ndufb3/Taldo1/Uck1/Rnaseh2b/Nampt/Mpc1/Atp2b2/Acat1/Pank2/Cacnb4/Atp1a2/Sarm1/Atp5pb/Mcee/Pdhx/Acaa2/Adsl/Ndufa2/Dgat1/Acss2/Ctps2/Nadk2/Rfk/Hmgcs1/Gnai3/Pde5a/Pdk2/Adcy7/Dtymk/Pdhb/Ldhb/Ndufs2/Ndufs5/Papss2/Gpd2/Fdx1/Nt5e/Cmpk1/Ak3/Dcxr/Ndufa5/Sdhd/Ndufa3/Sucla2/Ndufv2/Nme7/Dhodh/Atp1b1/Vnn1/Adk/Dld/Pank1/Acly/Idh3b/Mdh2/Adcy1/Nos1/Ampd2/Eno1/Pdk3/Ran/Gcdh/Ndufc2/Hspa8/Acot9/Ndufa1/Adcy6/Idh3g/Cs/Suclg2/Atp6v1b2/Antkmt/Ndufa13/Ndufb11/Pgd/Pde1a/Aldoa/Fis1/Ndufa10/Ndufs1/Vdac1/Ppargc1a/Upp1/Sdha/Mfn1/Suclg1/Rrm2b/Parp1/Mdh1/Hint1/Idh3a/Ndufa12/Enpp5/Tkt/Ndufa7/Dera/Ak2/Bcl2l1/Ndufb2/Idh2/Gpam/Ndufs4/Ndufb4/Adal/Fhit/Ndufb8",180,"Up","Control - Stress"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.0342967244701349,0.0156103977017064,2.92137323095067e-27,2.08878186012973e-24,1.07048682252263e-24,"Zyg11b/Fbxo27/Nfe2l2/N4bp1/Spsb4/Cav1/Anapc10/Sh3rf1/Rhobtb3/Tmub1/Styx/Lrrk2/Gclc/Foxf2/Zfand2a/Rad23a/Atg7/Aup1/Usp38/Desi1/Cdc34/Arih1/Fbxl19/Fbxo4/Tmub2/Edem3/Skp1/Ubxn7/Mapk8/Fbxl6/Man1c1/Chfr/Trib1/Rpl11/Pmp22/Fbxl18/Edem2/Ube2a/Rnf217/Psma5/Ascc2/Psmf1/Ube2g1/Epm2a/Rbck1/Trim25/Nkd2/Ankib1/Cul1/Ubxn2a/Ccdc47/Ogt/Ube2j2/Tlk2/Ubxn2b/Rnf144a/Nedd4l/Klhl22/Rbx1/Ube4b/Rnf19a/Dcaf13/Peli1/Stt3b/Xpo1/Amn1/Rnf5/Hsp90b1/Glmn/Os9/Nop53/Sirt2/Ube2g2/Ubr1/Hspa5/Ubqln4/Ube2b/Fbxo45/Kctd5/Arrb1/Mdm2/Derl1/Spopl/Cop1/Ufd1/Usp5/Ube2k/Clu/Ube2j1/Sh3rf3/Rchy1/Ubqln1/Derl2/Rnf122/Anapc1/Hectd3/Gna12/Wwtr1/Dnajc10/Rffl/Psmc2/Ube2d3/Sharpin/Gsk3a/Zswim8/Fbxw5/Psen2/Ppp2cb/Rnf121/Apc/Psmc5/Psmd7/Tmem129/Wdr26/Psmd8/Amfr/Smurf1/Trim9/Psmd14/Znrf1/Psmd6/Rmnd5a/Ube2h/Uchl5/Fbxl7/Cul4a/Dnajb9/Usp7/Klhdc10/Rnf144b/Fbxo2/Ube2v2/Fbxw7/Fbxo31/Eif3h/Akt1/Otud5/Selenos/Ube2n/Herpud1/Btrc/Wac/Anapc4/Ddb1/Ppp2r5c/Map1a/Kctd2/Psmc1/Spsb3/Commd1/Topors/Ddit3/Socs4/Hspbp1/Axin1/Tbl1xr1/Dcaf12/Sumo1/Psen1/Ubr2/Birc2/Ubxn4/Ubr3/Nemf/Plk2/Ube2s/Csnk1a1/Maea/Psmc4/Fbxo3/Rnf187/Gsk3b/Psmb5/Smarcc1/Det1/Bbs7/Fhit/Cdc27",178,"Up","Control - Stress"
"GO:0008380","RNA splicing",0.0339113680154143,0.0155411719912776,1.46772063921239e-26,9.44478231333174e-24,4.84038817121308e-24,"Rbm38/Gcfc2/Ppil1/Rbm47/Clk1/Zbtb8os/Usp49/Brdt/Armc7/Cdk13/Ttf2/Snrpf/Slc39a5/Bud13/Crnkl1/Rsrp1/Yju2/Tia1/Aff2/Taf5l/Paxbp1/Snw1/Snrnp35/Khdc4/Ppie/Snrnp48/Htatsf1/Snrnp40/Prdx6/Srpk1/Jmjd6/Rbm24/Kat2a/Zc3h10/Slc38a2/Gemin2/Rp9/Pcbp4/Rbmx2/Prpf38b/Pabpc1/Fam50a/Akt2/Rbm8a/Snrpd1/Taf12/Arl6ip4/Hnrnpf/Kat2b/Magoh/Srrm4/Snip1/Snrnp25/Tsen54/Srek1ip1/Smndc1/Trpt1/Sde2/Nono/Cript/Cwc15/Rps13/Prpf40b/Slu7/Dhx8/Rbm17/Qki/Pus1/Prpf6/Gemin4/Clk2/Pus7/Ccnl1/U2af1/Zcrb1/Ythdc1/Khdrbs3/Prmt5/Ddx47/Pnn/Lsm2/Rbm39/Ptbp2/Sf3b5/Clk4/Hnrnpl/Tmbim6/Rbm11/Fmr1/Lsm1/Rbm5/Hnrnpc/Fxr2/Rsrc1/Snrpg/Eftud2/Virma/Dhx16/Tra2a/Sfpq/Mbnl1/Ddx5/Celf1/Prmt7/Srsf2/Hnrnpa2b1/Srek1/Nova1/Snu13/Srsf6/Prkrip1/Rrp1b/Ddx17/Cactin/Cdk12/Mettl3/Ppwd1/Ppil2/Hnrnpm/Tfip11/Txnl4b/Luc7l3/Mettl4/Clp1/Larp7/Fxr1/Zmat2/Srsf3/Dcps/Prpf3/Plrg1/Usp4/Ppp4r2/Tada3/Tssc4/Eny2/Habp4/Iws1/Snrnp70/Hspa8/Smu1/Nova2/Snrpb/Rtraf/Dnajc17/Prpf4/Prpf8/Tsen15/Ptbp1/Scnm1/Srpk2/Rtcb/Thoc1/Tra2b/Dhx15/Pik3r1/Dbr1/Nsrp1/Bcas2/Ddx1/Ddx23/Srsf7/Hnrnpll/Grsf1/Wbp4/Cdc5l/Taf15/Hnrnph1/Snrpb2/Lsm7/Srsf9/Txnl4a/Ddx39b/Ncbp2/Rbm25/Snrpe",176,"Up","Control - Stress"
"GO:0044772","mitotic cell cycle phase transition",0.033718689788054,0.0157142362673497,1.95857217062687e-25,1.14576471981672e-22,5.87196804839615e-23,"Nuf2/Rbm38/Ccno/Zc3h12d/Kdm8/Anxa1/Rbl2/Tacc3/Klf4/Adam17/Ppm1d/Cenpf/Rad51b/Cep192/Gjc2/Rrm2/Rcc1/Tfap4/Lats2/Mad1l1/Ndc80/Cdc14a/Bcl7b/Eif4ebp1/Ctdspl/Cdc7/Cdk7/Nfia/Chmp4b/Spdya/Prkdc/Chfr/Zfp36l1/Smarcb1/Mad2l1/Phf10/Cdk6/Ube2a/Klhl18/Mbtps1/Hspa2/Spast/Fam107a/Mrnip/Nes/Cables1/Tmod3/Ccne1/Mepce/Nfix/Ctdsp2/Clasp1/Foxo4/Arid1b/Ccnh/E2f1/Ccnj/Topbp1/Men1/Ccng1/Klhl22/Nabp1/Rgcc/Hecw2/Rint1/Foxn3/Sirt7/Sde2/Nacc2/Birc5/Nop53/Cdkn1b/Rpa2/Bcl7c/Mdm2/E2f6/Cdkn2b/Cdkn2d/Dpf1/Anapc15/Ccnjl/Rnaseh2b/Psmg2/Ino80/Rps27l/Smarce1/Rhou/Cdkn1a/Bcl2/Prmt2/Cacnb4/Cdc25b/Rdx/Psme1/Dact1/Ccng2/Anapc1/Cenpj/Ppp6c/Dcun1d3/Bcl7a/Phb2/Arid2/Cacul1/Appl1/Actl6b/Rad21/Dlg1/Bach1/Clasp2/Ccnd2/Taf2/Dgkz/Cdk14/Ccni/E2f3/Donson/Riok2/Psme2/Rpl26/Apc/Pkia/E2f5/Arpp19/Larp7/Vps4a/Smarca4/Plrg1/Fbxl7/Cul4a/Cpsf3/Nfib/Hus1/Zfp36l2/Jade1/Tcf19/Fbxo31/Akt1/Ube2e2/Wac/Anapc4/Taok2/Ddb1/Tpra1/Senp2/Taok1/Ppp2r5c/Appl2/Cdk4/Brcc3/Atm/Calm1/Smarca2/Actb/Rrm2b/Cradd/Mta3/Taok3/Kat14/Rps6/Plk2/Rpl24/Calm3/Ube2s/Rfwd3/Smarcd1/Usp47/Smarcc1/Rab11a/Eif4g1/Rad17/Uimc1/Chmp2a/Cdc27/Babam1",175,"Up","Control - Stress"
"GO:0007264","small GTPase mediated signal transduction",0.0333333333333333,0.0148143020317746,5.9397118001351e-28,5.46029220483848e-25,2.79836346914636e-25,"Dok1/Dock8/Eps8l1/Lpar6/Plce1/Col1a2/Fbp1/Eps8l3/Ralgapa2/Racgap1/Lat/Psd4/Spry4/Arhgap17/Iqsec2/Cdc42ep2/Rit2/F11r/Dock2/Dok4/Farp2/Dock11/Rhod/Csf1/Rras2/Cdon/Synpo2l/Ednra/Rtkn/Adrb1/Spry2/Cdc42ep1/Git2/Ccdc88c/Dok3/Myo9b/Syde1/Arhgap8/Ralgds/Tgfb2/Nras/Arhgef11/Gna13/Rapgef5/Tax1bp3/Adra1b/Arl6/Rnd1/Als2/Tsc2/Dok5/Vangl2/Tns3/Rabif/Ralgps2/Chuk/Nfix/Net1/Shoc2/Ogt/Map4k4/Rasgef1c/Cdc42se1/Rab33a/Rasgef1a/Amot/Adra1a/Dock10/Cyfip1/Dock4/Kank1/Garnl3/Rhoc/Rnd2/Sh2d3c/Lpar1/Rasip1/Heg1/Src/Rasgrp2/Dennd3/Rasa2/Arrb1/Nkiras1/Rhot1/Usp8/Rhebl1/Ksr2/Arhgef2/Ccdc88a/Rhou/Cdc42ep3/Abl1/Bcar3/Dennd4c/Notch2/Rab4b/Rhof/Rab12/Mapkap1/Rdx/Rap1b/Cyth1/Pik3cb/Rapgef4/Itga3/Git1/Rhob/Dennd4a/Arhgap18/Gna12/Dhcr24/Rsu1/Mapre2/Rgl1/Ywhaq/Cdc42bpa/Dgkz/Arl3/Garre1/Ralb/Dock7/Ppp2cb/Rock1/Vav2/Iqsec1/Dlc1/Rit1/Rtn4/Arhgap44/Ralbp1/Bnip2/Sipa1l2/Ulk1/Rabl3/Arhgef18/Cyth2/Wasf1/Nup62/Cdh2/Syde2/Rasgef1b/Mcf2l/Rap2c/Cdc42/Rac1/Rhog/Hmox1/Rac3/Hras/Hacd3/Arhgap24/Tiam1/Adcyap1r1/Gdi2/Was/Dnm2/Rufy1/Lztr1/Arhgap12/Rab39b/Itpkb/Apoe/Rhov/Plk2/Gdi1/Rapgef1/Rap2a/Nkiras2/Iqsec3/Gpsm2/Dennd4b/Apoa1",173,"Up","Control - Stress"
"GO:0022411","cellular component disassembly",0.0333333333333333,0.0159911391090651,1.58630649727259e-23,6.37992644371818e-21,3.26966990523356e-21,"Sgk1/C1ql1/Slc25a5/Acvr1c/Map1lc3b/Kif9/Ckap2/Akap5/Hk2/Svil/Spata33/Itgam/Nckap5l/Eif5a2/Sh3gl1/Twf2/Scaf4/Jmjd4/Atg7/Plekhh2/Nedd9/Plin3/Nmnat1/Apaf1/Mfsd8/Tgfb2/Chmp4b/Pym1/Sptb/Srebf1/Mul1/Smarcb1/Sh3gl3/Retreg1/Nedd1/Hspa2/Spef1/Carmil1/Mcoln1/Ddit4/Spast/Atg14/Chmp6/Ascc2/Nes/Tmod3/Gsn/Vrk1/Tmem39a/Clasp1/Mid1ip1/Ndel1/Ogt/Snx14/Map4k4/Wipi2/Dusp3/Akap8l/Kdm4a/Atg13/Insr/Chmp5/Vps13c/Epg5/Nckap5/Dhx8/Ubqln4/Tomm7/Snx30/Pik3ca/Ctss/Capg/Chka/C3/Lrba/Arhgef2/Smarce1/Wnk1/Ngef/Mcts1/Denr/Camsap3/Pex14/Chmp2b/Cfl1/Ubqln1/Rdx/Meltf/Stmn4/Atg2a/Phb2/Optn/Arid2/Flii/Mid1/Map4/Hsf1/Zfand1/Mapre2/Twf1/Cdc37/Clasp2/Sharpin/Gsk3a/Ddr1/Capn10/Pik3c3/Zmpste24/Wdr47/Septin7/Tecpr1/Apc/Tex264/Bok/Dicer1/Sh3pxd2b/Iqsec1/Tfip11/Smurf1/Mtrf1l/Carmil2/Abce1/Dstn/Chmp1b/Vps4a/Pnpla2/Fundc1/Smarca4/Rpl23/Ulk1/Pink1/Slc25a46/Hspa8/Cfl2/Bnip3l/Dnajc17/Fbxw7/Snap29/Napb/Vmp1/Mtrf1/Fis1/Nav3/Ufc1/Rb1cc1/Rubcn/Taok1/Map1a/Slc25a4/Vdac1/Sema5a/Pik3r1/Wdr1/Plin2/Arpc2/Per2/Calm1/Becn1/Gabarapl2/C1qb/Dedd2/Gabarapl1/Map1lc3a/Cidea/Wdr45/Bmerb1/Capzb/Smarcd1/Trpv4/Gsk3b/Smarcc1/Eif5a/Chmp2a",173,"Up","Control - Stress"
